validation_season,official_brier,candidate_brier,candidate_minus_official_brier,official_score,candidate_score,target_mean,official_prediction_mean,candidate_prediction_mean,selected_offset_mean
2022,0.2435622461405432,0.24360213590748292,3.988976693972135e-05,2248.0657797286362,2232.0563121870027,0.5289204435249241,0.5182892285287838,0.515678658942774,-0.02611012690809572
2023,0.2537378949304638,0.2536632331701746,-7.466176028919635e-05,0.0,0.0,0.49995723449750534,0.5098240143075439,0.5026641895677394,-0.07137089730466217
2024,0.2480239578589654,0.2485805001217587,0.0005565422627933081,713.7387745690837,490.9498111008492,0.4861049201797189,0.47934359733268095,0.46147819191335415,-0.17614831958388535
