validation_season,game_month,fit_seconds,forecast_overall,offset_overall,prior_overall,forecast_game_type_F,offset_game_type_F,prior_game_type_F,forecast_game_type_R,offset_game_type_R,prior_game_type_R
2022,3,0.7429626250013825,0.5238552093505859,-0.0775062560627683,0.5431423520563061,0.692603588104248,0.13641548561900385,0.662823938017633,0.5106557011604309,-0.07525635090674414,0.5294373194967937
2022,4,0.7429626250013825,0.5313354134559631,-0.04749345387711523,0.5431423520563061,0.6791305541992188,0.07387488544530862,0.662823938017633,0.5169165134429932,-0.05019372002090981,0.5294373194967937
2022,5,0.7429626250013825,0.54352205991745,0.001530325366145363,0.5431423520563061,0.675067663192749,0.05529179304364762,0.662823938017633,0.5237970352172852,-0.022625498094837132,0.5294373194967937
2022,6,0.7429626250013825,0.539436399936676,-0.014925660500071242,0.5431423520563061,0.6688439249992371,0.027056778662391534,0.662823938017633,0.5222711563110352,-0.028741999425119735,0.5294373194967937
2022,7,0.7429626250013825,0.5373080372810364,-0.023489563252450302,0.5431423520563061,0.6475421786308289,-0.06765119556500454,0.662823938017633,0.5226185321807861,-0.02734969026957282,0.5294373194967937
2022,8,0.7429626250013825,0.5345086455345154,-0.03474521279280285,0.5431423520563061,0.6459134221076965,-0.07478014860977622,0.662823938017633,0.5205082297325134,-0.03580664194344943,0.5294373194967937
2022,9,0.7429626250013825,0.53385329246521,-0.03737893376609519,0.5431423520563061,0.640977144241333,-0.09629642000948979,0.662823938017633,0.5218266248703003,-0.03052358981247917,0.5294373194967937
2022,10,0.7429626250013825,0.5339241027832031,-0.037094385342114594,0.5431423520563061,0.6649492383003235,0.00952448819467111,0.662823938017633,0.5185365676879883,-0.0437053419575419,0.5294373194967937
2023,3,0.6482196249999106,0.5050312876701355,-0.138351032494124,0.5395365039034485,0.7146027088165283,0.18192702826741725,0.6761024803433737,0.48775598406791687,-0.14113233016222684,0.5230203318510896
2023,4,0.6482196249999106,0.5115756988525391,-0.11216579183578089,0.5395365039034485,0.7093734741210938,0.1564256286943383,0.6761024803433737,0.4932941198348999,-0.1189716023178656,0.5230203318510896
2023,5,0.6482196249999106,0.5192130208015442,-0.08158692013561405,0.5395365039034485,0.7080904841423035,0.1502105166512756,0.6761024803433737,0.4953189194202423,-0.11087134259792714,0.5230203318510896
2023,6,0.6482196249999106,0.5274229049682617,-0.048675057238384806,0.5395365039034485,0.7067155241966248,0.14356767516127966,0.6761024803433737,0.503635048866272,-0.07760602154352464,0.5230203318510896
2023,7,0.6482196249999106,0.5255608558654785,-0.05614423043156881,0.5395365039034485,0.7093057036399841,0.15609692810113018,0.6761024803433737,0.5029283165931702,-0.08043307288974622,0.5230203318510896
2023,8,0.6482196249999106,0.5177527666091919,-0.08743593358327058,0.5395365039034485,0.7043547630310059,0.1322044479333424,0.6761024803433737,0.497246652841568,-0.10315997314537591,0.5230203318510896
2023,9,0.6482196249999106,0.5292712450027466,-0.041257847953182436,0.5395365039034485,0.7078113555908203,0.14886048082442693,0.6761024803433737,0.5072908997535706,-0.06298080690166283,0.5230203318510896
2023,10,0.6482196249999106,0.5245199799537659,-0.0603182043035875,0.5395365039034485,0.7062859535217285,0.14149603151584533,0.6761024803433737,0.5016798377037048,-0.08542709709109028,0.5230203318510896
2024,3,2.538679334000335,0.5031117796897888,-0.11404716286286823,0.5315815109059132,0.624241292476654,-0.05157018293439941,0.6362581492282089,0.5049042105674744,-0.05645319444941601,0.5190085008953861
2024,4,2.538679334000335,0.4949254095554352,-0.14679350110072098,0.5315815109059132,0.6193018555641174,-0.07257394626567693,0.6362581492282089,0.5009326934814453,-0.07233988758280792,0.5190085008953861
2024,5,2.538679334000335,0.4893433153629303,-0.16912763717392712,0.5315815109059132,0.6216814517974854,-0.06246869580529324,0.6362581492282089,0.49648189544677734,-0.09014331628921911,0.5190085008953861
2024,6,2.538679334000335,0.4811447560787201,-0.2019512001265073,0.5315815109059132,0.6385964751243591,0.010117667929289809,0.6362581492282089,0.48927974700927734,-0.1189582503448636,0.5190085008953861
2024,7,2.538679334000335,0.48266246914863586,-0.19587238040596622,0.5315815109059132,0.7014299035072327,0.2949562752974425,0.6362581492282089,0.47994551062583923,-0.15633168125095137,0.5190085008953861
2024,8,2.538679334000335,0.4866260588169098,-0.1800029703751631,0.5315815109059132,0.756923496723175,0.5767260039646411,0.6362581492282089,0.4775153696537018,-0.16606988647781776,0.5190085008953861
2024,9,2.538679334000335,0.48528194427490234,-0.18538367803459052,0.5315815109059132,0.742554247379303,0.5001269388341854,0.6362581492282089,0.4756307601928711,-0.1736249187946416,0.5190085008953861
2024,10,2.538679334000335,0.4790383279323578,-0.21039030451749208,0.5315815109059132,0.6930686831474304,0.2553451440679144,0.6362581492282089,0.46314752101898193,-0.22374838609810233,0.5190085008953861
