validation_season,game_type,rows,target_mean,official_prediction_mean,candidate_prediction_mean,official_brier,candidate_brier,candidate_minus_official_brier
2022,F,30448,0.7087493431424067,0.6993513341405705,0.6652446249090248,0.20661015622035414,0.20856025614097057,0.0019500999206164271
2022,R,217024,0.5036908360365674,0.4928866048942195,0.4952639400789401,0.24874654480746444,0.24868696875065743,-5.957605680700917e-05
2023,F,25686,0.47290352721326795,0.6894876924497796,0.6568007273443954,0.29596027454247287,0.28249085584345024,-0.013469418699022628
2023,R,219839,0.5031181910398064,0.4888321009675019,0.4907813758196816,0.24880462993783703,0.24875185998949023,-5.2769948346798046e-05
2024,F,30010,0.45928023992002664,0.4482325543101622,0.5374002186058013,0.24725160012119313,0.25472205368289685,0.007470453561703727
2024,R,223497,0.4897067969592433,0.48352102432770017,0.48495373219929305,0.24812766598798064,0.24814987283695772,2.2206848977079918e-05
