model,validation_season,train_rows,validation_rows,train_target_rate,validation_target_rate,brier,competition_score,fit_seconds,inference_seconds
constant,2024,1221585,253507,0.5315815109059132,0.4861049201797189,0.25187504706086583,0.0,0.0681510000003982,0.011453000000074098
logistic,2024,1221585,253507,0.5315815109059132,0.4861049201797189,0.24962087725371868,74.47731953823534,4.938696707999952,0.28830074999996214
random_forest,2024,1221585,253507,0.5315815109059132,0.4861049201797189,0.2487672812064766,416.1796327303513,27.885759666000013,0.20515870799999902
histgb,2024,1221585,253507,0.5315815109059132,0.4861049201797189,0.24836649642416006,576.6174506563359,12.930082667000079,0.5815841669996189
