model,validation_season,train_rows,validation_rows,train_target_rate,validation_target_rate,brier,competition_score,fit_seconds,inference_seconds
constant,2024,1221585,253507,0.5315815109059132,0.4861049201797189,0.25187504706086583,0.0,0.07588770800020939,0.014435332999710226
random_forest,2024,1221585,253507,0.5315815109059132,0.4861049201797189,0.2487672812064766,416.1796327303513,27.661631790999763,0.20500987500008705
