model,validation_rows,target_rate,prediction_mean,brier,competition_score,best_iterations,fit_seconds,inference_seconds,paired_brier_delta,paired_standard_error,paired_ci95_low,paired_ci95_high,xgboost_weight
diagnostic_optimal_baseline_xgboost_blend,253507,0.4861049201797189,0.4950621919665905,0.24805721516906962,700.4255688321525,,,,,,,,0.05343809624391461
current_histgb_extra_trees,253507,0.4861049201797189,0.4950336466278165,0.2480576346694111,700.257639004509,,134.7289825830003,0.9026981249999152,,,,,
xgboost_classifier,253507,0.4861049201797189,0.4955678224458265,0.24818883714493611,647.7360867688132,212.0,12.899324042002263,0.29807862500456395,0.0001312024755250069,2.3952449519502754e-05,8.425567446678151e-05,0.0001781492765832323,
