validation_season,climate_season,rows,target_mean,official_prediction_mean,candidate_prediction_mean,official_brier,candidate_brier,candidate_minus_official_brier
2022,autumn,50879,0.5141020853397276,0.5166506426780242,0.5177449133310266,0.2437908004562044,0.24391991458185397,0.00012911412564955982
2022,spring,86260,0.5423950846278692,0.5211828904659758,0.5227837765102273,0.24176049273877837,0.2418328123187478,7.231957996942096e-05
2022,summer,110333,0.5252191094232913,0.5167825381532717,0.5178407091500793,0.2448654884471035,0.244823940895337,-4.154755176652425e-05
2023,autumn,54779,0.5045181547673379,0.5020786235709985,0.49435344466802283,0.25274085017606335,0.25251691414246685,-0.0002239360335964946
2023,spring,80864,0.49160318559556787,0.5138823413720696,0.5216161195682109,0.25384709745223144,0.25505291022067844,0.001205812768447001
2023,summer,109882,0.5038313827560474,0.5106986998739824,0.5088575268366797,0.25415458339519037,0.2534837063045924,-0.0006708770905979877
2024,autumn,34976,0.47706999085086915,0.47575221564291315,0.47471760395956225,0.24848993539832098,0.2485235149945643,3.357959624331053e-05
2024,spring,99027,0.4915528088299151,0.4813708571692105,0.48083279258809425,0.24805794882240814,0.24814484233306497,8.689351065682693e-05
2024,summer,119504,0.48423483732762085,0.4787148209415084,0.4790942880766239,0.24785941061742245,0.24787534551164653,1.59348942240789e-05
