validation_season,official_brier,candidate_brier,candidate_minus_official_brier,official_score,candidate_score,official_prediction_mean,candidate_prediction_mean,target_mean
2022,0.2435622461405432,0.24359547583334903,3.322969280583621e-05,2248.0657797286362,2234.7292844516087,0.5182892285287838,0.5195439927337121,0.5289204435249241
2023,0.2537378949304638,0.25378482512190753,4.6930191443750324e-05,0.0,0.0,0.5098240143075439,0.5098235862014112,0.49995723449750534
2024,0.2480239578589654,0.24807004560895804,4.608774999265153e-05,713.7387745690837,695.2894262699738,0.47934359733268095,0.47916955220179197,0.4861049201797189
