model,validation_season,rows,actual_rate,predicted_rate,mean_bias,brier,competition_score
constant,2022,247472,0.5289204435249241,0.5431423520563059,0.014221908531381833,0.24936587062859672,0.0
constant,2023,245525,0.49995723449750534,0.5395365039034486,0.03957926940594331,0.2515665167378201,0.0
constant,2024,253507,0.4861049201797189,0.5315815109059128,0.045476590726193866,0.25187504706086583,0.0
histgb,2022,247472,0.5289204435249241,0.5312125633730206,0.002292119848096519,0.24367116498966546,2204.3519926230438
histgb,2023,245525,0.49995723449750534,0.5218690329152174,0.021911798417712014,0.253600187494179,0.0
histgb,2024,253507,0.4861049201797189,0.4979925907933722,0.011887670613653312,0.24836649642416006,576.6174506563359
random_forest,2022,247472,0.5289204435249241,0.5303351304684889,0.0014146869435648357,0.243990458194977,2076.205989302882
random_forest,2023,245525,0.49995723449750534,0.5203325254710321,0.020375290973526805,0.2516607229076518,0.0
random_forest,2024,253507,0.4861049201797189,0.5012184966520391,0.0151135764723202,0.2487672812064766,416.1796327303513
