probability_bin,rows,predicted_rate,actual_rate,model,validation_season,calibration_gap
0,24748,0.5431423520563061,0.49814126394052044,constant,2022,0.04500108811578568
1,24747,0.5431423520563061,0.5119004323756415,constant,2022,0.031241919680664587
2,24747,0.5431423520563061,0.5298015921121753,constant,2022,0.013340759944130864
3,24747,0.5431423520563061,0.5257606982664565,constant,2022,0.01738165378984957
4,24747,0.5431423520563061,0.4921404614700772,constant,2022,0.05100189058622895
5,24747,0.5431423520563061,0.49504990503899465,constant,2022,0.04809244701731147
6,24747,0.5431423520563061,0.503778235745747,constant,2022,0.03936411631055914
7,24747,0.5431423520563061,0.4932315028084212,constant,2022,0.049910849247884914
8,24747,0.5431423520563061,0.5392572837111569,constant,2022,0.003885068345149234
9,24748,0.5431423520563061,0.700137384839179,constant,2022,-0.15699503278287286
0,24553,0.5395365039034485,0.47802712499490896,constant,2023,0.06150937890853958
1,24552,0.5395365039034485,0.4936054089279896,constant,2023,0.04593109497545894
2,24553,0.5395365039034485,0.504785565918625,constant,2023,0.03475093798482354
3,24552,0.5395365039034485,0.4918132942326491,constant,2023,0.04772320967079946
4,24553,0.5395365039034485,0.5081660082271006,constant,2023,0.031370495676347976
5,24552,0.5395365039034485,0.5080237862495927,constant,2023,0.03151271765385588
6,24552,0.5395365039034485,0.507535027696318,constant,2023,0.032001476207130564
7,24553,0.5395365039034485,0.4960289984930558,constant,2023,0.04350750541039272
8,24552,0.5395365039034485,0.5018735744542197,constant,2023,0.03766292944922889
9,24553,0.5395365039034485,0.5097136806092942,constant,2023,0.02982282329415431
0,25351,0.5315815109059132,0.5038065559544003,constant,2024,0.027774954951512942
1,25351,0.5315815109059132,0.4838073448779141,constant,2024,0.04777416602799911
2,25350,0.5315815109059132,0.4907692307692308,constant,2024,0.04081228013668242
3,25351,0.5315815109059132,0.48925091712358487,constant,2024,0.04233059378232834
4,25351,0.5315815109059132,0.48219005167449014,constant,2024,0.049391459231423074
5,25350,0.5315815109059132,0.4908481262327416,constant,2024,0.04073338467317161
6,25351,0.5315815109059132,0.47725927971283183,constant,2024,0.05432223119308138
7,25350,0.5315815109059132,0.48682445759368836,constant,2024,0.04475705331222485
8,25351,0.5315815109059132,0.4801388505384403,constant,2024,0.051442660367472914
9,25351,0.5315815109059132,0.4761547867934204,constant,2024,0.05542672411249283
0,24748,0.4445950049702856,0.44597543235817033,histgb,2022,-0.0013804273878847417
1,24747,0.4719124215141351,0.4717743564876551,histgb,2022,0.0001380650264800054
2,24747,0.4868338596107903,0.4765830201640603,histgb,2022,0.010250839446729998
3,24747,0.4985087284880675,0.49698953408493957,histgb,2022,0.0015191944031279214
4,24747,0.5092432552308557,0.5089505798682669,histgb,2022,0.0002926753625888123
5,24747,0.5203269951513674,0.5171940033135329,histgb,2022,0.0031329918378344424
6,24747,0.5320141872750548,0.5231341172667394,histgb,2022,0.008880070008315366
7,24747,0.5471058707956905,0.5448741261567058,histgb,2022,0.0022317446389846785
8,24747,0.5887022273403925,0.5919101305208713,histgb,2022,-0.0032079031804788105
9,24748,0.7128792425194971,0.7118150961693874,histgb,2022,0.0010641463501096515
0,24553,0.4395113807618176,0.4442634301307376,histgb,2023,-0.004752049368919986
1,24552,0.466270682263093,0.47267025089605735,histgb,2023,-0.00639956863296437
2,24553,0.4810059333423383,0.4806337311122877,histgb,2023,0.00037220223005063335
3,24552,0.49278919521440223,0.49853372434017595,histgb,2023,-0.005744529125773723
4,24553,0.5030752221380486,0.5088176597564452,histgb,2023,-0.005742437618396656
5,24552,0.5135818456902645,0.5105490387748453,histgb,2023,0.003032806915419295
6,24552,0.5252963758740381,0.5217904855001629,histgb,2023,0.0035058903738751646
7,24553,0.5400587020470015,0.5270639025780963,histgb,2023,0.012994799468905138
