hist_max_iter,robust_objective,maximum_fold_brier_delta,all_development_folds_non_degraded,selected
50,1.003745199667711,-2.1139609886478006e-05,True,True
100,1.0043526075952445,-3.7820644585712104e-05,True,False
150,1.0044413857033567,-2.8469383911572388e-05,True,False
200,1.0044807175807262,-1.8869613470612334e-05,True,False
250,1.0045220462503575,-9.894599469706389e-06,True,False
300,1.0045631841711506,0.0,True,False
350,1.004603348049559,1.1183016534965784e-05,False,False
