validation_season,hist_max_iter,brier,official_brier,brier_delta,competition_score,robust_objective,all_development_folds_non_degraded
2022,50,0.24354110653065672,0.2435622461405432,-2.1139609886478006e-05,2256.5500082484814,1.003745199667711,True
2023,50,0.2534629929743886,0.2537378949304638,-0.00027490195607515755,0.0,1.003745199667711,True
2022,100,0.24352442549595749,0.2435622461405432,-3.7820644585712104e-05,2263.2448200778367,1.0043526075952445,True
2023,100,0.2536796053755743,0.2537378949304638,-5.828955488945686e-05,0.0,1.0043526075952445,True
2022,150,0.24353377675663163,0.2435622461405432,-2.8469383911572388e-05,2259.4917596886366,1.0044413857033567,True
2023,150,0.25370672135296896,0.2537378949304638,-3.117357749482519e-05,0.0,1.0044413857033567,True
2022,200,0.24354337652707259,0.2435622461405432,-1.8869613470612334e-05,2255.638961713813,1.0044807175807262,True
2023,200,0.25371663152292334,0.2537378949304638,-2.1263407540439427e-05,0.0,1.0044807175807262,True
2022,250,0.24355098449788917,0.2435622461405432,-1.1261642654025739e-05,2252.5855580168177,1.0045220462503575,True
2023,250,0.2537280003309941,0.2537378949304638,-9.894599469706389e-06,0.0,1.0045220462503575,True
2022,300,0.2435622461405432,0.2435622461405432,0.0,2248.0657797286362,1.0045631841711506,True
2023,300,0.2537378949304638,0.2537378949304638,0.0,0.0,1.0045631841711506,True
2022,350,0.24357342915707816,0.2435622461405432,1.1183016534965784e-05,2243.577557460885,1.004603348049559,False
2023,350,0.25374748278333337,0.2537378949304638,9.587852869585856e-06,0.0,1.004603348049559,False
