validation_season,component,brier,competition_score,prediction_mean,fit_seconds,source
2022,full,0.24345353888411359,2291.694645647546,0.5295349805103244,0.0,cache
2022,recent_3,0.24345353888411359,2291.694645647546,0.5295349805103244,0.0,same_window_as_full
2022,recent_2,0.24348061998244364,2280.825843998191,0.5294830319044442,0.0,cache
2023,full,0.2540258785210995,0.0,0.5215284943096313,0.0,cache
2023,recent_3,0.25405663616913254,0.0,0.5212119732685019,0.0,cache
2023,recent_2,0.2540867367379606,0.0,0.5207398557808622,0.0,cache
2024,full,0.24805763467392158,700.2576371989533,0.49503364663859595,0.0,cache
2024,recent_3,0.24812153158068648,674.6791203842029,0.49512196639286327,0.0,cache
2024,recent_2,0.2481225123808697,674.2864970907036,0.49495622469477263,0.0,cache
