model,validation_season,train_rows,validation_rows,train_target_rate,validation_target_rate,brier,competition_score,fit_seconds,inference_seconds
constant,2022,728588,247472,0.5431423520563061,0.5289204435249241,0.24936587062859672,0.0,0.0426503749999938,0.011504291000164812
constant,2023,976060,245525,0.5395365039034485,0.49995723449750534,0.2515665167378201,0.0,0.05517329200029053,0.01177449999977398
constant,2024,1221585,253507,0.5315815109059132,0.4861049201797189,0.25187504706086583,0.0,0.06996495800012781,0.011727457999768376
random_forest,2022,728588,247472,0.5431423520563061,0.5289204435249241,0.243990458194977,2076.205989302882,15.638439625000046,0.20478604200025075
random_forest,2023,976060,245525,0.5395365039034485,0.49995723449750534,0.2516607229076518,0.0,22.513101666999773,0.2095441659998869
random_forest,2024,1221585,253507,0.5315815109059132,0.4861049201797189,0.2487672812064766,416.1796327303513,29.611074542000097,0.2385868749997826
histgb,2022,728588,247472,0.5431423520563061,0.5289204435249241,0.24367116498966546,2204.3519926230438,8.424824125000214,0.585331750000023
histgb,2023,976060,245525,0.5395365039034485,0.49995723449750534,0.253600187494179,0.0,10.993031415999667,0.5640707910001765
histgb,2024,1221585,253507,0.5315815109059132,0.4861049201797189,0.24836649642416006,576.6174506563359,13.648167916999682,0.5867389160002858
