branch,validation_season,stage,brier,competition_score,prediction_mean
temporal_original,2022,development_blend,0.2434464553000563,2294.5375905365163,0.5295243672496139
temporal_original,2022,game_type_corrected,0.2434464553000563,2294.5375905365163,0.5295243672496139
temporal_original,2022,rolling_calibrated,0.2434464553000563,2294.5375905365163,0.5295243672496139
temporal_original,2023,development_blend,0.2540211734008846,0.0,0.5213267459361404
temporal_original,2023,game_type_corrected,0.25401941868535066,0.0,0.5212638820255886
temporal_original,2023,rolling_calibrated,0.25401401931085293,0.0,0.5211121491575464
temporal_original,2024,development_blend,0.24805506188775553,701.2875470575163,0.4950291653857688
temporal_original,2024,game_type_corrected,0.24804392360956598,705.7463017982934,0.4942206517878177
temporal_original,2024,rolling_calibrated,0.2479999872715437,723.3344201874381,0.4907892272864321
temporal_with_smoothing,2022,development_blend,0.2434776731238415,2282.008544243397,0.5291230407627346
temporal_with_smoothing,2022,game_type_corrected,0.2434776731238415,2282.008544243397,0.5291230407627346
temporal_with_smoothing,2022,rolling_calibrated,0.2434776731238415,2282.008544243397,0.5291230407627346
temporal_with_smoothing,2023,development_blend,0.25417710327282994,0.0,0.5193442471320683
temporal_with_smoothing,2023,game_type_corrected,0.25417035212355577,0.0,0.5193542924804909
temporal_with_smoothing,2023,rolling_calibrated,0.254168740743238,0.0,0.5193033478543646
temporal_with_smoothing,2024,development_blend,0.24808941379287172,687.5361649152478,0.4932042033414987
temporal_with_smoothing,2024,game_type_corrected,0.2480828800300185,690.1516900081895,0.49255424857527585
temporal_with_smoothing,2024,rolling_calibrated,0.24805249490398779,702.3151341629119,0.48946081997101515
