number,value,params_catboost_fraction_of_remainder,params_official_weight,user_attrs_catboost_weight,user_attrs_residual_weight,state
0,1.0045631841711506,0.5,1.0,0.0,0.0,COMPLETE
1,1.0042438511006704,1.0,0.9,0.09999999999999998,0.0,COMPLETE
2,1.0038245815412545,1.0,0.75,0.25,0.0,COMPLETE
3,1.003285005096877,1.0,0.5,0.5,0.0,COMPLETE
4,1.0044907706533022,0.0,0.9,0.0,0.09999999999999998,COMPLETE
5,1.004651297903025,0.0,0.75,0.0,0.25,COMPLETE
6,1.005637919886874,0.0,0.5,0.0,0.5,COMPLETE
7,1.0040264787705682,0.5,0.5,0.25,0.25,COMPLETE
8,1.0038255810904262,0.6090665392794814,0.5575272831948894,0.2694953263500787,0.17297739045503185,COMPLETE
9,1.004596275420836,0.24058961996534878,0.5666954820929941,0.1042485692925152,0.32905594861449067,COMPLETE
10,1.003388562407908,0.9624868299570108,0.5434174418543956,0.4394546990032254,0.01712785914237904,COMPLETE
11,1.0033092846144998,0.9701559133624855,0.5025106984605286,0.4826421877230908,0.014847113816380547,COMPLETE
12,1.0037995014150674,0.7520702292832018,0.6717901391027051,0.2468368653380363,0.08137299555925856,COMPLETE
13,1.0033086791279116,0.9683352109019715,0.5014112882551898,0.4828010053407531,0.01578770640405714,COMPLETE
14,1.0035914205953864,0.9774134893648053,0.6476328320997387,0.34440842311498865,0.007958744785272682,COMPLETE
15,1.0035538357810774,0.7981807317959108,0.551098090923766,0.35830485429104986,0.09059705478518415,COMPLETE
16,1.0041677158300608,0.546745238866366,0.8037381509098009,0.10730523156117555,0.08895661752902351,COMPLETE
17,1.0036889754166103,0.665583629417626,0.5052114743151915,0.32932314271949115,0.16546538296531738,COMPLETE
18,1.004057667716929,0.5030941476025663,0.6715564975129777,0.16523800391930984,0.1632054985677124,COMPLETE
19,1.0033276262873243,0.9996916571821065,0.5236016498124904,0.47625145617777304,0.0001468940097366274,COMPLETE
20,1.0036878874304729,0.7613355976054563,0.6108726282622289,0.2962565201066165,0.09287085163115459,COMPLETE
21,1.003408055584703,0.8811770369999872,0.5157063262537868,0.42674846446952663,0.057545209276686576,COMPLETE
