validation_season,model,brier,competition_score
2022,official_852_baseline,0.2435622461405432,2248.0657797286362
2022,optuna_without_mapping,0.24350863967485073,2269.580344449507
2023,official_852_baseline,0.2537378949304638,0.0
2023,optuna_without_mapping,0.25329124862100916,0.0
2022,optuna_with_mapping,0.24349532102612553,2274.9256871482103
2023,optuna_with_mapping,0.2533213971886492,0.0
