number,value,params_catboost_fraction_of_remainder,params_official_weight,user_attrs_catboost_weight,user_attrs_residual_weight,state
0,1.0045631841711506,0.5,1.0,0.0,0.0,COMPLETE
1,1.004239037192629,1.0,0.9,0.09999999999999998,0.0,COMPLETE
2,1.003803505464151,1.0,0.75,0.25,0.0,COMPLETE
3,1.0032127135022033,1.0,0.5,0.5,0.0,COMPLETE
4,1.0045088682151926,0.0,0.9,0.0,0.09999999999999998,COMPLETE
5,1.004627419727961,0.0,0.75,0.0,0.25,COMPLETE
6,1.0053581476407667,0.0,0.5,0.0,0.5,COMPLETE
7,1.0039680436024916,0.5,0.5,0.25,0.25,COMPLETE
8,1.0036707710966926,0.9507143064099162,0.6872700594236812,0.2973168285486292,0.015413112027689573,COMPLETE
9,1.0042654632990722,0.5986584841970366,0.8659969709057025,0.08022205027540354,0.05378097881889397,COMPLETE
10,1.0032445631650566,0.985676403766266,0.5094268514788296,0.48354637681864154,0.007026771702528879,COMPLETE
11,1.003318062844533,0.9017537279995327,0.5037736596581466,0.4474739523348312,0.048752388007022196,COMPLETE
12,1.003851284582704,0.6604645759080574,0.6532582453045166,0.22901064596456813,0.11773110873091529,COMPLETE
13,1.0032268860958766,0.9968837041320564,0.5056324186898118,0.49282698565930605,0.00154059565088221,COMPLETE
14,1.003672104507668,0.7109789973233609,0.573616532096749,0.30314969048511087,0.12323377741814018,COMPLETE
15,1.003439601628416,0.9693926889588357,0.5943214798192379,0.39326179153087026,0.012416728649891842,COMPLETE
16,1.0035628697327326,0.7384055447250207,0.52442412411221,0.35116786369300246,0.12440801219478759,COMPLETE
17,1.0044240555549508,0.2550647701144628,0.6104536254742164,0.09935955646734142,0.29018681805844215,COMPLETE
18,1.0033666739799116,0.9749338929690045,0.5632005357416416,0.42585060213617687,0.010948862122181525,COMPLETE
19,1.0040054938284415,0.7077835596407838,0.7634953366825072,0.16739411247450012,0.06911055084299264,COMPLETE
20,1.003718443121385,0.7589510368862273,0.6356612648622485,0.27651526081061306,0.08782347432713845,COMPLETE
21,1.0033257354208611,0.8916082945836675,0.5017168363089086,0.44427340179836844,0.05400976189272295,COMPLETE
22,1.0033070553101986,0.972703446395876,0.534158339511564,0.4531257886318793,0.012715871856556715,COMPLETE
23,1.0033639727213617,0.8937016806178524,0.5234151742797306,0.42592465970317106,0.050660166017098364,COMPLETE
24,1.0032703035053765,0.9994821580233383,0.5277044108773123,0.47205101464124777,0.0002445744814399017,COMPLETE
25,1.0035663353513897,0.9888777553933893,0.6549046603870969,0.34125710483312693,0.003838234779776102,COMPLETE
26,1.0032616838601631,0.9917421360091251,0.5203900408338975,0.47564940535463973,0.003960553811462745,COMPLETE
27,1.0041952479202934,0.39662607592391924,0.7004498960654817,0.11880938226615016,0.18074072166836813,COMPLETE
28,1.0035814562405636,0.752606384616138,0.5500089558594378,0.33866613284026953,0.1113249113002927,COMPLETE
29,1.003555478978186,0.7254038820981387,0.504932978690822,0.3591235391564397,0.13594348215273835,COMPLETE
30,1.0032672130553033,0.948764495677179,0.5032143079220865,0.47133262660393993,0.02545306547397355,COMPLETE
31,1.0032730620599772,0.9891362664389755,0.5247822670965295,0.47005509406973306,0.005162638833737431,COMPLETE
32,1.0045026107934434,0.3531655287582119,0.9662652299192918,0.011913957913090033,0.021820812167618213,COMPLETE
33,1.0032420551516221,0.9945429677653884,0.5120503852224043,0.48528685800088806,0.002662756776707643,COMPLETE
34,1.0032288701091494,0.9914290205053411,0.5042338456174246,0.4915169528392165,0.004249201543358954,COMPLETE
35,1.0032529474616936,0.9879274847639632,0.5145206237130211,0.4796184191199727,0.005860957167006199,COMPLETE
36,1.0034741294656013,0.9737757355713221,0.6111309014103011,0.378671292520141,0.010197806069557867,COMPLETE
37,1.0044136007630593,0.8657594300199405,0.9501945220447685,0.043119562206391925,0.006685915748839564,COMPLETE
38,1.003253253166288,0.9681890207784317,0.5057231967768441,0.4785533741061209,0.015723429117035007,COMPLETE
39,1.0034433616773335,0.9766849915129379,0.5985766479309748,0.392064163208631,0.009359188860394258,COMPLETE
40,1.003219817878073,0.995081411110787,0.5013677490829677,0.49617968386786854,0.002452567049163803,COMPLETE
41,1.0032421980408266,0.9905113128480109,0.5103854562958328,0.4849687444738945,0.0046457992302727565,COMPLETE
42,1.003333910354176,0.8838497956711645,0.501276646823569,0.4407965338014266,0.05792681937500445,COMPLETE
43,1.0032508621591119,0.9929898077433711,0.5156751834013089,0.4809296065196777,0.003395210079013362,COMPLETE
44,1.0032612557235367,0.9525158585713465,0.5020831055605948,0.47427373820412855,0.02364315623527667,COMPLETE
45,1.0033720481706765,0.9911741192590399,0.5717757781151329,0.4244447659721208,0.003779455912746288,COMPLETE
