model,brier,competition_score,prediction_mean,mapped_brier,unmapped_brier
official_852_baseline,0.2480239578589654,713.7387745690837,0.47934359733268095,0.24771462055235086,0.24803948290316577
optuna_without_mapping,0.24850806933432995,519.944518481108,0.48168765450055734,0.24827857496434003,0.2485195872151729
optuna_with_mapping,0.24850941024836082,519.4077383172124,0.4816516919964725,0.24828848283632085,0.24852049817006852
