number,value,params_iterations,params_official_weight,user_attrs_all_development_folds_non_degraded,user_attrs_maximum_development_fold_brier_delta,state
321,1.003570246373841,260,0.5916015643167247,True,-4.502018151883447e-05,COMPLETE
322,1.0033697049175767,210,0.5711657034977144,True,-6.155180378752956e-05,COMPLETE
323,1.0030406043612252,80,0.5644197513006951,True,-3.886867677177497e-05,COMPLETE
324,2.0048035929491395,20,0.5916032120160339,False,0.0002404087779891706,COMPLETE
325,1.003143458682438,110,0.5020658033242804,True,-4.149393410649016e-05,COMPLETE
326,1.0036727080013623,340,0.5984802882610532,True,-2.560982084409691e-05,COMPLETE
327,1.0031387746492761,120,0.5092951419196995,True,-4.763361373710806e-05,COMPLETE
328,1.0038697954797624,200,0.7671842567730774,True,-5.0021609716843773e-05,COMPLETE
329,2.0045804639606963,400,0.5055595907958121,False,1.727978954588205e-05,COMPLETE
330,2.004563224524199,60,0.5273063275762774,False,4.0353048375019185e-08,COMPLETE
331,1.003060207850721,80,0.571387439466323,True,-3.970450827897598e-05,COMPLETE
332,1.0032390823219688,130,0.5055284728491095,True,-4.582708995584661e-05,COMPLETE
333,1.0028774837627514,80,0.5041511477096273,True,-2.966238087506734e-05,COMPLETE
334,1.003056228122794,80,0.5699773507031854,True,-3.953917938981366e-05,COMPLETE
335,1.0034527515527938,290,0.5048374780823945,True,-2.71696047137171e-05,COMPLETE
336,2.0047327133673445,30,0.508047328692094,False,0.0001695291961938683,COMPLETE
337,1.0028704978382994,80,0.501470914706166,True,-2.9170674120837514e-05,COMPLETE
338,1.0030287794997617,80,0.5601900563645198,True,-3.8338186734682145e-05,COMPLETE
339,1.003420946199772,260,0.5032184863990485,True,-3.7336975190011e-05,COMPLETE
340,1.0028732981346216,80,0.5025463345253512,True,-2.936880880505255e-05,COMPLETE
341,1.0032509620329417,150,0.5045901815274689,True,-5.1632647898924855e-05,COMPLETE
342,1.0035719224715118,270,0.5788262830112404,True,-4.279148872615712e-05,COMPLETE
343,2.0049122467030354,20,0.5057581545484645,False,0.0003490625318849361,COMPLETE
344,1.003310435396158,160,0.5200653180205064,True,-4.111743460052941e-05,COMPLETE
345,1.0028824917103776,80,0.5060671341970105,True,-3.0009586642759656e-05,COMPLETE
346,1.002883051178235,80,0.5062809035745534,True,-3.0048102851704117e-05,COMPLETE
347,1.0036102283913597,320,0.5612580740403975,True,-2.7143785296696032e-05,COMPLETE
348,1.0034034700730712,220,0.5619973208921903,True,-5.856737522799693e-05,COMPLETE
349,1.002868545032198,80,0.5007201259866654,True,-2.9031680592289666e-05,COMPLETE
350,1.003932294697942,100,0.8128583179704627,True,-4.3279331995021986e-05,COMPLETE
351,1.002878698899637,80,0.5046164565473629,True,-2.9747031088239728e-05,COMPLETE
352,1.003060924242511,80,0.5716410321393819,True,-3.973403548787613e-05,COMPLETE
353,2.0045642403147164,20,0.9805472676515967,False,1.0561435659084406e-06,COMPLETE
354,1.0031280897587163,100,0.5018047202874617,True,-4.3285786923003e-05,COMPLETE
355,2.005361032740417,10,0.5086087900202626,False,0.0007978485692668458,COMPLETE
356,1.0036568773491854,150,0.6904072429476844,True,-5.656438304874056e-05,COMPLETE
357,1.0037170536418998,330,0.6209348855835942,True,-2.7299558337579022e-05,COMPLETE
358,1.0036717749524091,70,0.7607661847134664,True,-3.775904726333046e-05,COMPLETE
359,1.0030408148617438,80,0.5644948623644445,True,-3.8877939505688186e-05,COMPLETE
360,1.0035886255568467,370,0.5036348705435564,True,-1.8042406243201636e-06,COMPLETE
361,1.0036351977530764,350,0.5629677559296702,True,-1.775868417028259e-05,COMPLETE
362,1.0032742517901267,200,0.5043264904748972,True,-5.47452545971161e-05,COMPLETE
363,1.0034502350344106,280,0.5111083386286328,True,-3.647575052354024e-05,COMPLETE
364,1.0035551311163673,330,0.5082507220150959,True,-1.1077048398866474e-05,COMPLETE
365,1.0028703416792106,80,0.5014109020946447,True,-2.9159584202576028e-05,COMPLETE
366,1.0030415627014106,80,0.5647616557046972,True,-3.8910796096858213e-05,COMPLETE
367,1.0029488056194094,70,0.515266632010691,True,-1.597688173132772e-05,COMPLETE
368,1.0030237019280126,80,0.5583675591665352,True,-3.8104227913421385e-05,COMPLETE
369,2.004581992970123,50,0.5722945017063144,False,1.8808798972730356e-05,COMPLETE
370,1.00291496047819,80,0.5183827082184732,True,-3.2155874362338466e-05,COMPLETE
371,1.0028711772478314,80,0.5017319635066136,True,-2.9218873270481227e-05,COMPLETE
372,1.0038976118366039,160,0.7775479883484896,True,-4.3313801879191205e-05,COMPLETE
373,1.0040666082365897,300,0.8030771086530775,True,-2.8432586384102843e-05,COMPLETE
374,1.0034735611501244,180,0.6163696562042176,True,-5.5199952576856504e-05,COMPLETE
375,1.0034431670642616,190,0.5978095722417414,True,-5.841699560382718e-05,COMPLETE
376,1.003279574426392,170,0.5188515451054667,True,-4.967573619094057e-05,COMPLETE
377,1.0028816078216392,80,0.5057292922877945,True,-2.9948624597431195e-05,COMPLETE
378,1.0028708460684428,80,0.5016047252046285,True,-2.919538873288885e-05,COMPLETE
379,1.0043316144888699,370,0.9127766165700676,True,-1.6656345114579585e-05,COMPLETE
380,1.0034084795359712,250,0.5019015343929712,True,-3.516049700949542e-05,COMPLETE
381,1.0028744570275612,80,0.5029909805732662,True,-2.9450400488406636e-05,COMPLETE
382,1.0034632483454748,270,0.5120381860574329,True,-3.656674967855711e-05,COMPLETE
383,1.0030140852710607,80,0.5549054001492792,True,-3.7650856482329687e-05,COMPLETE
384,1.0032375919469312,210,0.5074893018313451,True,-5.8029525772052004e-05,COMPLETE
385,1.003652669768068,380,0.5445111471906561,True,-5.488342503745525e-06,COMPLETE
386,1.0035636447131129,350,0.5089315409501071,True,-8.043587466532998e-06,COMPLETE
387,1.0042790143973277,360,0.8916187912651057,True,-1.9737936199776263e-05,COMPLETE
388,1.004294300853419,390,0.8853405485042732,True,-2.0403909606919735e-05,COMPLETE
389,1.0028748547007735,80,0.5031435049526294,True,-2.9478343993860623e-05,COMPLETE
390,1.0030621818795877,90,0.5066952089693728,True,-3.779609855844579e-05,COMPLETE
391,1.003549229957334,300,0.5095860492044589,True,-1.3126327539692006e-05,COMPLETE
392,1.0032560869576146,140,0.5076537362992034,True,-4.8471267320521205e-05,COMPLETE
393,1.004273923403859,130,0.9122069692417317,True,-2.344206954069117e-05,COMPLETE
394,2.004632173753138,40,0.556220285177855,False,6.898958198769956e-05,COMPLETE
395,2.0045709045233684,60,0.5000926496319055,False,7.720352218076876e-06,COMPLETE
396,1.0028708448821935,80,0.5016042694151837,True,-2.9195304578955028e-05,COMPLETE
397,1.0045267536622737,190,0.9891223359233459,True,-3.279281774959397e-06,COMPLETE
398,1.0032585855520504,180,0.5155147241542706,True,-4.965547823662653e-05,COMPLETE
399,1.0032891821523013,80,0.6490557293805433,True,-4.5814490609169534e-05,COMPLETE
400,1.0030637055866742,80,0.572624903620969,True,-3.9847999207143214e-05,COMPLETE
401,1.002868744771734,80,0.5007969508186334,True,-2.904592842620235e-05,COMPLETE
402,1.0041880142600528,340,0.8578583319930347,True,-2.546238216283303e-05,COMPLETE
403,1.0030003455083758,80,0.5499348549430139,True,-3.6979515394830464e-05,COMPLETE
404,1.0032699270317205,120,0.5679159904287393,True,-5.29586089436096e-05,COMPLETE
405,1.0030715542532422,80,0.5753954355010384,True,-4.016384104679749e-05,COMPLETE
406,1.002889432162878,80,0.5087151241131533,True,-3.0483548436793795e-05,COMPLETE
407,1.0040090092522886,90,0.8444520979824113,True,-3.55284397066391e-05,COMPLETE
408,1.0035676182585396,290,0.5767956031752832,True,-3.534625536782965e-05,COMPLETE
409,1.0028753313239451,80,0.5033262725854101,True,-2.951179838286966e-05,COMPLETE
410,1.0030355375862496,80,0.5626098821649907,True,-3.864381862500599e-05,COMPLETE
411,1.0033099328551671,90,0.6082409657738668,True,-4.788972163488614e-05,COMPLETE
412,1.0035600765222334,280,0.5779759419959742,True,-4.270700973202368e-05,COMPLETE
413,1.003017649640076,80,0.556190234947781,True,-3.7820470833838105e-05,COMPLETE
414,1.0036806265019622,310,0.6053961046475939,True,-2.570664319420657e-05,COMPLETE
415,1.0035313130727432,320,0.5041257393299869,True,-1.8775900194889505e-05,COMPLETE
416,1.0032794902324915,190,0.5195817177836507,True,-5.478309049619656e-05,COMPLETE
417,1.003532304652339,310,0.5044104792857581,True,-1.2312486873444772e-05,COMPLETE
418,1.002870818408004,80,0.5015940972373909,True,-2.9193426400786482e-05,COMPLETE
419,1.003304196690654,220,0.5108502025929196,True,-5.528950209063299e-05,COMPLETE
420,1.0037691018099133,390,0.5486758331516873,True,-8.139683973867884e-06,COMPLETE
421,1.00340087395006,150,0.5789015911183139,True,-5.710318019788718e-05,COMPLETE
422,1.0028758378631626,80,0.5035204672982725,True,-2.9547308720651033e-05,COMPLETE
423,1.0035113743440782,240,0.5682159411194262,True,-4.428019852203979e-05,COMPLETE
424,1.0028696361188325,80,0.501139697307387,True,-2.910942361281088e-05,COMPLETE
425,1.004476340870464,150,0.9741002886225247,True,-7.836988851234183e-06,COMPLETE
426,2.004852054234423,10,0.7192945863360142,False,0.0002888700632721619,COMPLETE
427,1.0038960677939621,230,0.7520804710276082,True,-4.795156466891326e-05,COMPLETE
428,1.0035351303463471,340,0.5006521454921922,True,-1.0133461041728076e-05,COMPLETE
429,1.0032864684406098,160,0.5073171357224682,True,-3.955075745179504e-05,COMPLETE
430,1.0030060831293746,80,0.5520139756504846,True,-3.7263261870063014e-05,COMPLETE
431,1.0028699210401995,80,0.5012492268064822,True,-2.9129690240464745e-05,COMPLETE
432,2.004659529217872,40,0.5035442511152738,False,9.63450467213467e-05,COMPLETE
433,1.0040316921091779,390,0.7475497835193223,True,-2.8396852259054972e-05,COMPLETE
434,2.0051662699028743,10,0.5778398046346342,False,0.0006030857317240734,COMPLETE
435,1.0044025458406494,40,0.9696972709798459,True,-4.486446813944944e-06,COMPLETE
436,1.0028849046434085,80,0.5069887054152521,True,-3.017531395491102e-05,COMPLETE
437,1.0032734000537562,100,0.5678782016421351,True,-5.0794499686646066e-05,COMPLETE
438,1.0030464096461087,80,0.566488859126302,True,-3.912182758611382e-05,COMPLETE
439,1.0033784118932543,130,0.5740995565243595,True,-5.198695685446064e-05,COMPLETE
440,1.003598021904843,360,0.5152670954502688,True,-4.994914660577665e-06,COMPLETE
441,1.0028815849770343,80,0.5057205587327708,True,-2.9947047190698184e-05,COMPLETE
442,2.0045672073525767,380,0.5013621475135536,False,4.0231814264213295e-06,COMPLETE
443,2.004604938413633,50,0.506821877056832,False,4.1754242482788806e-05,COMPLETE
444,2.004563638213133,400,0.5745307553516815,False,4.540419825671549e-07,COMPLETE
445,1.0034133620112238,230,0.5077834182472435,True,-4.745696919336573e-05,COMPLETE
446,2.004671515631436,30,0.592700199780881,False,0.00010833146028538243,COMPLETE
447,2.004630709710115,20,0.7882231650057907,False,6.752553896421931e-05,COMPLETE
448,1.0030342478234004,80,0.5621485793297355,True,-3.858599528783202e-05,COMPLETE
449,1.004551986848596,80,0.9973242543253755,True,-8.044130264672766e-07,COMPLETE
450,1.003411306109014,240,0.5102535117665834,True,-3.906453998284154e-05,COMPLETE
451,1.0030069319744823,80,0.5523211461321096,True,-3.730482519190281e-05,COMPLETE
452,1.0028720186015452,80,0.5020551206085784,True,-2.9278447810254793e-05,COMPLETE
453,1.003486472595855,260,0.5437230336539902,True,-4.1627307563130156e-05,COMPLETE
454,1.0028715845166396,80,0.501888408063654,True,-2.9247726799908058e-05,COMPLETE
455,1.0031246905872984,120,0.5027043252431503,True,-4.6848100362095746e-05,COMPLETE
456,1.003267063325074,170,0.5124176510810119,True,-4.9019428941504684e-05,COMPLETE
457,1.0028688009757951,80,0.5008185670079573,True,-2.9049936298958245e-05,COMPLETE
458,1.0030351999855065,80,0.5624891576338678,True,-3.862870611631708e-05,COMPLETE
459,1.0028724197234196,80,0.5022091433644775,True,-2.930680631296756e-05,COMPLETE
460,1.0041470099245604,120,0.8802125960880864,True,-3.095716226364509e-05,COMPLETE
461,2.0048609232418166,20,0.5443398096272829,False,0.0002977390706662142,COMPLETE
462,1.0035555067641975,250,0.5878763935547332,True,-4.3149013417981275e-05,COMPLETE
463,1.0030507397996113,80,0.568029052496527,True,-3.9307555127959803e-05,COMPLETE
464,2.0045704371962954,40,0.7313613271150243,False,7.253025144760006e-06,COMPLETE
465,2.0046104669995612,10,0.9056286261508643,False,4.72828284109883e-05,COMPLETE
466,1.0031726115600168,110,0.5160031137378098,True,-4.33474725529126e-05,COMPLETE
467,1.0035828585301756,140,0.6601449718360122,True,-5.562830443237021e-05,COMPLETE
468,1.0028726608936251,80,0.5023017339460768,True,-2.9323842854311888e-05,COMPLETE
469,1.003635229914918,370,0.5427682106285433,True,-9.850777140107958e-06,COMPLETE
470,1.0033936589780637,140,0.5758927652700534,True,-5.4132329419004366e-05,COMPLETE
471,1.0038301400023446,370,0.6745091222732096,True,-2.6640829018070855e-05,COMPLETE
472,1.0039552076939646,260,0.7753039226138178,True,-4.115763434084374e-05,COMPLETE
473,1.0028711170576055,80,0.5017088400414307,True,-2.9214606516836383e-05,COMPLETE
474,1.0035465145680396,330,0.5013221997108038,True,-9.715808376914437e-06,COMPLETE
475,1.0032011909454328,70,0.6087426881584292,True,-3.149517366698995e-05,COMPLETE
476,1.0030738338332341,80,0.5761985022764882,True,-4.025399102980387e-05,COMPLETE
477,1.0032695793535145,200,0.5018469328387879,True,-5.452861794541519e-05,COMPLETE
478,1.0029183541943871,70,0.5032309016851778,True,-1.3333386251923596e-05,COMPLETE
479,1.0033035166752706,150,0.5315905441254153,True,-5.4159523821817324e-05,COMPLETE
480,1.0041532347546944,220,0.8672884208797048,True,-3.413538045868303e-05,COMPLETE
481,1.0044726382309082,70,0.9777858569168344,True,-5.959744874883821e-06,COMPLETE
482,1.0036262504626836,300,0.5648242767173226,True,-2.1278464867713343e-05,COMPLETE
483,1.0028834582470683,80,0.5064364072936919,True,-3.0076092955244604e-05,COMPLETE
484,1.003527660146331,120,0.6715442880587634,True,-5.50624345402595e-05,COMPLETE
485,1.002870252750749,80,0.5013767245360572,True,-2.915326685470898e-05,COMPLETE
486,1.0032538624915242,190,0.5065115184645702,True,-5.370003824700653e-05,COMPLETE
487,2.0053780684527025,10,0.5029735830850783,False,0.0008148842815521584,COMPLETE
488,1.0028747936580276,80,0.5031200943390687,True,-2.9474056484013467e-05,COMPLETE
489,1.0030455339215425,80,0.5661770457617342,True,-3.908394519727687e-05,COMPLETE
490,1.0030330522203856,80,0.561720737769355,True,-3.8532180684391903e-05,COMPLETE
491,2.0047227210695713,30,0.5207012049239271,False,0.00015953689842093666,COMPLETE
492,1.0032431174246574,130,0.507617976466936,True,-4.6074291400827194e-05,COMPLETE
493,1.0030236358112996,80,0.5583438028009342,True,-3.810115685060067e-05,COMPLETE
494,2.0045779440909928,400,0.5147802583311764,False,1.4759919842510794e-05,COMPLETE
495,1.0032642730503825,80,0.6409120398249054,True,-4.545009150336288e-05,COMPLETE
496,1.0034655087286963,290,0.5133453561403833,True,-2.8351165521356414e-05,COMPLETE
497,1.0034389742075827,280,0.5037543879065427,True,-3.557356459635286e-05,COMPLETE
498,1.003564658820037,350,0.5097509547514029,True,-8.210471055286606e-06,COMPLETE
499,1.003759072739276,280,0.6826954947923758,True,-4.532412478017167e-05,COMPLETE
500,1.003467163412867,270,0.5145944234359913,True,-3.6870500436242404e-05,COMPLETE
501,1.0033288170153165,210,0.552048559154122,True,-6.083810378873511e-05,COMPLETE
502,2.004563786536264,390,0.5081105266666666,False,6.023651138997721e-07,COMPLETE
503,1.002873951498803,80,0.5027970480872318,True,-2.941483796772837e-05,COMPLETE
504,1.0032417791793808,140,0.5001311614972094,True,-4.7603549361480146e-05,COMPLETE
505,1.003607898699886,230,0.6170810999114462,True,-5.353429045412694e-05,COMPLETE
506,1.0042677933737305,380,0.8855338285256493,True,-1.95881489793992e-05,COMPLETE
507,1.0030424931300554,80,0.5650934753395764,True,-3.895156402392019e-05,COMPLETE
508,1.0043089395208147,110,0.9277629843657912,True,-1.977014215007178e-05,COMPLETE
509,1.002873275936533,80,0.5025378151691076,True,-2.9367243636890805e-05,COMPLETE
510,1.0037178282589383,380,0.5943504294787894,True,-1.4315003207920896e-05,COMPLETE
511,1.0034660153715467,170,0.6082038969696391,True,-5.5189298936914044e-05,COMPLETE
512,1.0039513699218268,330,0.7492202162759596,True,-3.219477682631089e-05,COMPLETE
513,1.0035474882782367,300,0.508253327000232,True,-1.2899455835879703e-05,COMPLETE
514,1.0040466568876094,270,0.8083660776302621,True,-3.703751533173927e-05,COMPLETE
515,1.0036210608046208,340,0.5642689690653504,True,-2.116464086898695e-05,COMPLETE
516,1.0028784588322248,80,0.5045245491261027,True,-2.973032778441631e-05,COMPLETE
517,1.003924194077335,350,0.7339434582940225,True,-3.123498691690041e-05,COMPLETE
518,1.0043895094654391,290,0.94027174883516,True,-1.3637073128069943e-05,COMPLETE
519,1.0034131980042174,220,0.5668089384333246,True,-5.8766908389518147e-05,COMPLETE
520,1.003453595772296,110,0.6379154304608954,True,-5.2161361877939294e-05,COMPLETE
521,1.0032344184479363,180,0.503222808838295,True,-4.8409178328462366e-05,COMPLETE
522,1.0028689844671872,80,0.5008891341698547,True,-2.906301703306524e-05,COMPLETE
523,1.0038626674336246,360,0.694236420566505,True,-2.8126717124959955e-05,COMPLETE
524,1.0036594819698603,320,0.5935795822341018,True,-3.066361878295565e-05,COMPLETE
525,1.0030517005544235,80,0.5683704202648708,True,-3.93484063731242e-05,COMPLETE
526,1.003024513739494,80,0.5586591982123453,True,-3.8141884175835195e-05,COMPLETE
527,1.0031809683007733,100,0.5265821424590454,True,-4.657614139497168e-05,COMPLETE
528,1.003433375033036,200,0.5838036783666497,True,-5.91036427380065e-05,COMPLETE
529,2.0049199594017897,20,0.50021143950687,False,0.00035677523063942784,COMPLETE
530,1.0028725950538946,80,0.5022764576545484,True,-2.9319192880766787e-05,COMPLETE
531,1.003422232382528,250,0.5105184309841588,True,-3.622544738413058e-05,COMPLETE
532,1.0030740461869618,90,0.5118726007972142,True,-3.853479500057211e-05,COMPLETE
533,1.0036617614324648,360,0.565716183911863,True,-1.4473233228645688e-05,COMPLETE
534,1.0028754274401912,80,0.5033631247315048,True,-2.9518539973877322e-05,COMPLETE
535,1.0034696363484887,160,0.5990374870889703,True,-4.775790321084883e-05,COMPLETE
536,2.0045816064882613,50,0.5735450983596683,False,1.8422317111022046e-05,COMPLETE
537,1.0030270895987983,80,0.5595839196205012,True,-3.826073498972016e-05,COMPLETE
538,1.002993378429798,60,0.550432118539331,True,-5.829558828857051e-06,COMPLETE
539,1.0028682943522205,80,0.5006236979669259,True,-2.9013789028919934e-05,COMPLETE
540,1.0030145019473358,80,0.5550556956423095,True,-3.767078055375017e-05,COMPLETE
541,1.0035913241550223,370,0.5060254019407355,True,-2.3359523557420214e-06,COMPLETE
542,1.0032333210748303,210,0.5053324344682533,True,-5.785291793047875e-05,COMPLETE
543,1.0036497489980252,330,0.5774805955845628,True,-2.236432887570139e-05,COMPLETE
544,1.0028758191988627,80,0.503513312679163,True,-2.9546001083680107e-05,COMPLETE
545,1.0030615831229968,80,0.5718742027161182,True,-3.976112947140509e-05,COMPLETE
546,1.0034913105602656,260,0.5465984614127625,True,-4.1882404325371825e-05,COMPLETE
547,1.0028748125243663,80,0.5031273298739753,True,-2.947538168479591e-05,COMPLETE
548,1.0029994324693636,80,0.549603540118057,True,-3.6933909897757244e-05,COMPLETE
549,1.0035324682852282,310,0.504535147355782,True,-1.2334037113564955e-05,COMPLETE
550,1.0044996948576033,280,0.978687633617644,True,-5.554247459960138e-06,COMPLETE
551,1.0028674515734137,80,0.5002994263254729,True,-2.895355609913719e-05,COMPLETE
552,1.002874977545572,80,0.5031906153568809,True,-2.948697035412562e-05,COMPLETE
553,1.003422051210906,260,0.5039275803317402,True,-3.742327601297113e-05,COMPLETE
554,1.0040477896111208,180,0.8370691487202315,True,-3.8208842612574845e-05,COMPLETE
555,1.0030319448797047,80,0.5613242945424665,True,-3.84821560092119e-05,COMPLETE
556,1.003322383281686,160,0.5263266905261301,True,-4.1836564110303565e-05,COMPLETE
557,1.0035263862506092,320,0.5002889343121921,True,-1.8115720780281785e-05,COMPLETE
558,2.004632152439805,40,0.556264620228792,False,6.896826865471217e-05,COMPLETE
559,1.0032921940288884,220,0.5043893088969409,True,-5.472501153658271e-05,COMPLETE
560,1.0034104105662265,230,0.5059599307711626,True,-4.727518099911787e-05,COMPLETE
561,1.0032526711857221,150,0.5054862820432807,True,-5.1726384248967916e-05,COMPLETE
562,1.0028688320951864,80,0.5008305353394206,True,-2.9052155159553505e-05,COMPLETE
563,1.0033845708715095,180,0.5762912191710148,True,-5.3995998793160416e-05,COMPLETE
564,1.003683719311876,350,0.5960673900433674,True,-2.241562994967361e-05,COMPLETE
565,1.0035811562193806,360,0.5006583151484659,True,-1.8167662177714927e-06,COMPLETE
566,1.0033984305704657,240,0.5023595807269138,True,-3.814996714565644e-05,COMPLETE
567,1.0045614551164535,390,0.9993201821971416,True,-1.5780159381972858e-07,COMPLETE
568,2.004581952695992,400,0.5002505828318664,False,1.8768524841283885e-05,COMPLETE
569,1.0033874007241614,190,0.5720865824996219,True,-5.776076524927065e-05,COMPLETE
570,1.0040850452459562,400,0.7507424800740113,True,-2.131746860103978e-05,COMPLETE
571,1.0030258902950562,80,0.5591534966728505,True,-3.820551819982976e-05,COMPLETE
572,1.002871206827243,80,0.5017433268811735,True,-2.9220969855053847e-05,COMPLETE
573,1.0028761283124803,80,0.5036317977089458,True,-2.956764994940797e-05,COMPLETE
574,1.0030197882880738,80,0.5569602383702039,True,-3.792134916910661e-05,COMPLETE
575,1.0028703835876946,80,0.5014270081380438,True,-2.9162560833656537e-05,COMPLETE
576,2.00466029332561,40,0.5021769851768233,False,9.710915445942936e-05,COMPLETE
577,1.004543644753848,300,0.9930607398651274,True,-1.5305800275811077e-06,COMPLETE
578,1.0032642612800318,110,0.5580533855992277,True,-4.78880383520397e-05,COMPLETE
579,1.0030385427379904,80,0.5636837815142628,True,-3.877762542381369e-05,COMPLETE
580,2.004723589756625,30,0.5195860322975892,False,0.00016040558547478212,COMPLETE
581,1.0036125317950428,210,0.6759691887231033,True,-6.022238180589112e-05,COMPLETE
582,1.0031321264325526,100,0.5037286601731203,True,-4.356167240521236e-05,COMPLETE
583,1.0032208671702108,80,0.6265530289107544,True,-4.4649919431066776e-05,COMPLETE
584,1.002868581931389,80,0.500734318883938,True,-2.9034313222209285e-05,COMPLETE
585,1.0045154284924322,230,0.9842297951506873,True,-4.50468935450643e-06,COMPLETE
586,1.0030354644408326,80,0.5625837270944255,True,-3.8640545693913175e-05,COMPLETE
587,1.0028899395644975,80,0.5089083798772939,True,-3.0517871352331305e-05,COMPLETE
588,1.0032618814103178,170,0.5097341736631423,True,-4.873540050448488e-05,COMPLETE
589,2.0046074168966537,50,0.500547078357499,False,4.423272550338475e-05,COMPLETE
590,1.003232710203502,120,0.5517534328230614,True,-5.178873225575309e-05,COMPLETE
591,1.0028735336784427,80,0.5026367279217516,True,-2.9385411434212916e-05,COMPLETE
592,1.0036543683586294,380,0.545897973000101,True,-5.765267069995916e-06,COMPLETE
593,2.004568000780562,60,0.5100387735812051,False,4.81660941178963e-06,COMPLETE
594,1.0036233192139308,310,0.5688610570242603,True,-2.1800051981157864e-05,COMPLETE
595,1.0030259003931297,80,0.5591571216941087,True,-3.820598399018049e-05,COMPLETE
596,1.0044022267980564,90,0.9569167232133633,True,-1.2019086858661154e-05,COMPLETE
597,1.0037828525975407,390,0.5624460671829308,True,-1.0752198734004237e-05,COMPLETE
598,1.002994201679548,80,0.5477029935509798,True,-3.667023055506369e-05,COMPLETE
599,1.002874016786828,80,0.5028220966592113,True,-2.9419433332261713e-05,COMPLETE
600,1.0035477594277609,280,0.5708659980864296,True,-4.221328849879358e-05,COMPLETE
601,1.0039195768336473,130,0.7933457270927327,True,-4.464677108051429e-05,COMPLETE
602,1.0031523190355078,60,0.6067407294577403,True,-1.7599447394128775e-05,COMPLETE
603,1.0033834402117372,130,0.5764498886322392,True,-5.212669250351243e-05,COMPLETE
604,1.0028784636901915,80,0.5045264090522713,True,-2.973066589009865e-05,COMPLETE
605,2.0052400827450367,10,0.5504597473476024,False,0.0006768985738863642,COMPLETE
606,1.0035160922133723,270,0.5455343446244186,True,-4.01335555146598e-05,COMPLETE
607,1.0030286854215762,70,0.5460019506291077,True,-2.2059454276135426e-05,COMPLETE
608,1.0035796868070497,290,0.5838250031994061,True,-3.592405573127344e-05,COMPLETE
609,1.0030493497957866,80,0.5675349340912154,True,-3.92482229361335e-05,COMPLETE
610,1.0028685973253135,80,0.5007402399273239,True,-2.9035411454020332e-05,COMPLETE
611,1.00287171427965,80,0.501938247773553,True,-2.9256913870068235e-05,COMPLETE
612,1.0031669890895198,90,0.5512535723754162,True,-4.336557850795342e-05,COMPLETE
613,1.003681995220105,370,0.5782782207817865,True,-1.5939847314544453e-05,COMPLETE
614,1.0035415115705821,340,0.5057340272639885,True,-1.1146819154428389e-05,COMPLETE
615,1.002866790830364,80,0.5000451056174646,True,-2.890624467835612e-05,COMPLETE
616,1.0030333527792092,80,0.5618283111000834,True,-3.854572823783209e-05,COMPLETE
617,1.0028827748176916,80,0.5061753147763625,True,-3.002908380708713e-05,COMPLETE
618,1.0032378240288113,130,0.504875483389055,True,-4.5749070225253874e-05,COMPLETE
619,2.0048206905821053,20,0.5769698969855461,False,0.00025750641095478866,COMPLETE
620,1.0033354650426907,200,0.5359869793315064,True,-5.708238856566572e-05,COMPLETE
621,1.002874594140706,80,0.5030435724282368,True,-2.9460038237699715e-05,COMPLETE
622,1.0031551233767315,110,0.5076774519333793,True,-4.2261104164359464e-05,COMPLETE
623,1.00346538479265,290,0.5132634048878564,True,-2.834005900381742e-05,COMPLETE
624,1.003773372825318,250,0.6969294151107389,True,-4.484714006319779e-05,COMPLETE
625,1.0031321691102653,120,0.5062117850014612,True,-4.727083044400726e-05,COMPLETE
626,1.003199457320389,80,0.6193893432794861,True,-4.4175486423575494e-05,COMPLETE
627,1.0034145157407313,250,0.5057004518924954,True,-3.563725623845215e-05,COMPLETE
628,1.0030213548464548,80,0.5575238350484929,True,-3.799481947514005e-05,COMPLETE
629,1.003384276553521,140,0.5714504959141817,True,-5.388496983513291e-05,COMPLETE
630,1.003619284865743,330,0.5563912734455144,True,-1.9371569026149782e-05,COMPLETE
631,1.0034392190746737,280,0.5039154352757189,True,-3.559378221404397e-05,COMPLETE
632,1.0035570212778806,350,0.5035356257959692,True,-6.929599562111033e-06,COMPLETE
633,2.0045636565121585,390,0.5086650228995011,False,4.7234100805648715e-07,COMPLETE
634,1.0030568865985634,80,0.5702108152404475,True,-3.956668644489181e-05,COMPLETE
635,2.004565042765006,380,0.510523622054975,False,1.8585938555137904e-06,COMPLETE
636,1.0028725467420239,80,0.5022579099236066,True,-2.9315780335936736e-05,COMPLETE
637,1.0028849074056536,80,0.5069897598084745,True,-3.0175503093338163e-05,COMPLETE
638,1.0030321824118718,80,0.561409349412185,True,-3.849290146720752e-05,COMPLETE
639,1.003244643217161,190,0.5017472452678613,True,-5.327136675617461e-05,COMPLETE
640,1.0028786094049946,80,0.504582195615686,True,-2.9740805451372587e-05,COMPLETE
641,1.0035216969358047,230,0.5710255194995146,True,-5.2129176550758105e-05,COMPLETE
642,1.0029202490970022,70,0.5039852658358848,True,-1.3503397318398447e-05,COMPLETE
643,1.0030259570088782,80,0.5591774454212141,True,-3.820859521252995e-05,COMPLETE
644,1.002875702449151,80,0.5034685573896847,True,-2.9537820105673962e-05,COMPLETE
645,1.003548272023358,330,0.5027455428406289,True,-9.998890284940165e-06,COMPLETE
