number,value,params_iterations,params_official_weight,user_attrs_all_development_folds_non_degraded,user_attrs_maximum_development_fold_brier_delta,state
74,1.0028941605080535,80,0.5105142750914246,True,-3.080167497720998e-05,COMPLETE
75,1.003262105556597,140,0.5107916491660979,True,-4.881892084990236e-05,COMPLETE
76,1.00372076324449,360,0.607335696605362,True,-2.0544810291012183e-05,COMPLETE
77,1.0028798022493735,80,0.5050387308493008,True,-2.982366955284199e-05,COMPLETE
78,1.0037484126889673,170,0.7261628714596737,True,-5.2176182148810923e-05,COMPLETE
79,2.0046030472716154,50,0.5116950516626779,False,3.986310046510955e-05,COMPLETE
80,1.0032486862160774,150,0.5033950180548877,True,-5.150657324340391e-05,COMPLETE
81,1.0033050356791082,200,0.5204345603893232,True,-5.6033765227808674e-05,COMPLETE
82,1.002868549959764,80,0.5007220213389196,True,-2.90320321712223e-05,COMPLETE
83,1.003543288362004,300,0.5050221289842647,True,-1.2343499112527079e-05,COMPLETE
84,1.003137099304701,120,0.5085144102189293,True,-4.754253534203223e-05,COMPLETE
85,1.0039541612761256,400,0.6483900816759381,True,-1.238452845889193e-05,COMPLETE
86,2.0047364779594874,30,0.5033749771608601,False,0.0001732937883371921,COMPLETE
87,1.0035930361578567,360,0.5110124234776048,True,-4.089398996182103e-06,COMPLETE
88,1.0029013270387799,80,0.5132337290202391,True,-3.127653675311093e-05,COMPLETE
89,1.0034191639077383,80,0.6904833109695963,True,-4.6666100186831816e-05,COMPLETE
90,1.0037351847750213,390,0.511398784409186,True,-1.6443493522366737e-07,COMPLETE
91,1.0029154368174416,80,0.5185620347720111,True,-3.218603355290006e-05,COMPLETE
92,2.004770701058612,20,0.6212942903446629,False,0.0002075168874618727,COMPLETE
93,1.003556746418066,330,0.5095358609327187,True,-1.1324905516196804e-05,COMPLETE
94,1.0028790000657952,80,0.504731740475803,True,-2.976797120182728e-05,COMPLETE
95,1.0028718582494154,80,0.5019935405002675,True,-2.9267103272473394e-05,COMPLETE
96,2.0045778617473986,400,0.5150868146018684,False,1.4677576248262048e-05,COMPLETE
97,1.0032585594462238,60,0.642402875541615,True,-2.3203484946859865e-05,COMPLETE
98,1.0036852901241946,320,0.6096987253535127,True,-3.209107321547333e-05,COMPLETE
99,1.0032745812006885,180,0.5235294376640385,True,-5.040134468270452e-05,COMPLETE
100,1.002886272955592,80,0.5075108469306959,True,-3.026884367796079e-05,COMPLETE
101,1.0029347474836148,70,0.509733142455292,True,-1.4779804627690352e-05,COMPLETE
102,1.003442794294305,280,0.5062610282318576,True,-3.588590798075941e-05,COMPLETE
103,1.0031537648628912,110,0.5070263352958841,True,-4.217353263760715e-05,COMPLETE
104,1.0034379640320377,130,0.6014508032560091,True,-5.332015715731053e-05,COMPLETE
105,1.0028674888296816,80,0.5003137639455534,True,-2.895622145596133e-05,COMPLETE
106,1.003541077865837,340,0.5053907372378097,True,-1.1079087698873114e-05,COMPLETE
107,1.0040021769693857,150,0.8203227697355975,True,-4.269074478363555e-05,COMPLETE
108,1.0037033272093379,350,0.6087957690472366,True,-2.394470899194645e-05,COMPLETE
109,1.0034466970562954,260,0.5195001073457576,True,-3.921798495912232e-05,COMPLETE
110,1.0030706042241082,80,0.5750605388994752,True,-4.0126060599915414e-05,COMPLETE
111,1.0029149179498789,80,0.5183666957916568,True,-3.2153179862326464e-05,COMPLETE
112,1.0029260243157851,80,0.5225380003790461,True,-3.284665467795378e-05,COMPLETE
113,1.0034891612471355,220,0.6033047268973017,True,-5.9670954864032844e-05,COMPLETE
114,1.0028800097743487,80,0.5051181306224847,True,-2.9838060372655573e-05,COMPLETE
115,1.003535790388521,230,0.5787858398551817,True,-5.248386833486829e-05,COMPLETE
116,1.0031280484670786,80,0.5950891700231028,True,-4.219311409126014e-05,COMPLETE
117,1.0028868028487565,80,0.5077129628584541,True,-3.0304976736339473e-05,COMPLETE
118,1.002903045126215,80,0.5138843615529264,True,-3.1389078581522956e-05,COMPLETE
119,1.0034905372354164,160,0.6087708592808273,True,-4.821098149410119e-05,COMPLETE
120,1.003485039675624,190,0.6165692524673967,True,-5.856271805984581e-05,COMPLETE
121,1.0028991085800467,80,0.5123928527505285,True,-3.113047622330112e-05,COMPLETE
122,1.0044670590680689,30,0.985819617277765,True,-1.4171108453364667e-06,COMPLETE
123,1.0028816038833017,80,0.505727786657096,True,-2.9948352663983213e-05,COMPLETE
124,1.002871625768061,80,0.5019042523444363,True,-2.9250647675865826e-05,COMPLETE
125,1.0035579068631346,350,0.5042615781351737,True,-7.08099333390777e-06,COMPLETE
126,1.0037026483459035,380,0.5832982086591296,True,-1.2557412009978064e-05,COMPLETE
127,2.0050556569266544,10,0.62218299587027,False,0.000492472755504153,COMPLETE
128,1.0037073793548967,300,0.6168242649671795,True,-2.6719672880731737e-05,COMPLETE
129,1.0032086315137312,90,0.5682723446015954,True,-4.502217856067192e-05,COMPLETE
130,1.0028819654157495,80,0.5058659894105211,True,-2.9973304385116917e-05,COMPLETE
131,1.0028708062071312,80,0.5015894092537259,True,-2.91925607833754e-05,COMPLETE
132,1.002873211281077,80,0.5025130006870611,True,-2.936268434011735e-05,COMPLETE
133,1.0036990916609878,370,0.5905110087261384,True,-1.777028577990003e-05,COMPLETE
134,1.004155520102511,230,0.8565936438576189,True,-3.369062560873437e-05,COMPLETE
135,1.0035514495257551,310,0.518755840058782,True,-1.4710885957114339e-05,COMPLETE
136,1.0036716647951462,290,0.6347717471001504,True,-3.893615071537404e-05,COMPLETE
137,1.0032000477232668,80,0.6195876258075901,True,-4.4189292039059636e-05,COMPLETE
138,1.0032525123255305,130,0.5124566421189571,True,-4.663237882857052e-05,COMPLETE
139,1.0043236089359253,260,0.9179237452079173,True,-1.9683295005151757e-05,COMPLETE
140,2.00487240573753,20,0.5354367880042883,False,0.00030922156637944176,COMPLETE
141,1.002890672713563,80,0.5091875369646243,True,-3.056738633244738e-05,COMPLETE
142,2.0045665284985033,380,0.5041999649557618,False,3.3443273529942807e-06,COMPLETE
143,1.0028959329827751,80,0.5111877001524997,True,-3.091993816056737e-05,COMPLETE
144,1.0035569365256294,320,0.5235209502689171,True,-2.1923948170105012e-05,COMPLETE
145,1.0028709178318402,80,0.5016322982032295,True,-2.9200479256974443e-05,COMPLETE
146,1.0031301746495567,80,0.5958220512608343,True,-4.2261328065063e-05,COMPLETE
147,2.0045680981227116,50,0.6221190640029968,False,4.9139515611584805e-06,COMPLETE
148,1.0034428727340192,170,0.5977012294281083,True,-5.488969599648508e-05,COMPLETE
149,1.0033167490430315,210,0.5463103155209008,True,-6.056631762818565e-05,COMPLETE
150,1.002875064766939,80,0.5032240626989404,True,-2.9493093564453288e-05,COMPLETE
151,1.0033089314380175,220,0.5133811709689386,True,-5.550143610263958e-05,COMPLETE
152,1.0028681684699774,80,0.5005752710800101,True,-2.9004800328219504e-05,COMPLETE
153,1.0032548627515594,170,0.5060817643612741,True,-4.833908172172108e-05,COMPLETE
154,1.0029003261304756,80,0.5128544540118576,True,-3.12107419252472e-05,COMPLETE
155,1.003504795212231,270,0.5385481869851493,True,-3.9463529085181914e-05,COMPLETE
156,1.0032865596487741,160,0.5073661402965022,True,-3.955704310695807e-05,COMPLETE
157,1.0028823147710646,80,0.5059995151663763,True,-2.9997394005804034e-05,COMPLETE
158,2.004659744064211,40,0.5031593180884788,False,9.655989306062152e-05,COMPLETE
159,1.0035119865605018,240,0.5685540213387945,True,-4.4302875555013443e-05,COMPLETE
160,1.0033086838429566,120,0.5843879423863074,True,-5.391719474648338e-05,COMPLETE
161,1.0028718788768485,80,0.5020014623231556,True,-2.9268562870138348e-05,COMPLETE
162,1.0034075658695665,230,0.5041967242661294,True,-4.709689351758972e-05,COMPLETE
163,1.0028761691592085,80,0.5036474532151981,True,-2.957050940435857e-05,COMPLETE
164,1.0030779429168135,80,0.5776442580092194,True,-4.0414701390767416e-05,COMPLETE
165,2.004567617085345,60,0.5113823300241985,False,4.432914194218984e-06,COMPLETE
166,1.0028683877862867,80,0.5006596401885614,True,-2.9020458924000625e-05,COMPLETE
167,1.0036021465919283,250,0.61276899564286,True,-4.4367585167071066e-05,COMPLETE
168,2.0045938195256907,30,0.748003520711528,False,3.0635354540287096e-05,COMPLETE
169,1.0034320115883606,140,0.5937670989175406,True,-5.495706686714508e-05,COMPLETE
170,1.0034126236741128,150,0.5843999145432947,True,-5.732270632072267e-05,COMPLETE
171,1.0028816787349095,80,0.505756402034385,True,-2.9953520536918354e-05,COMPLETE
172,1.003257018180011,190,0.5081345759623385,True,-5.384194079893767e-05,COMPLETE
173,2.0052709691969026,10,0.5394429540512202,False,0.00070778502575225,COMPLETE
174,1.003099030286383,80,0.5850272427673224,True,-4.120359657128203e-05,COMPLETE
175,1.0028829735803986,80,0.5062512572141049,True,-3.0042763937726535e-05,COMPLETE
176,1.003587765072132,360,0.5064568970612439,True,-3.1015490823960157e-06,COMPLETE
177,1.003523246965621,290,0.5501536749723402,True,-3.2799343018752314e-05,COMPLETE
178,1.002869612066597,80,0.5011304504734622,True,-2.910771210301588e-05,COMPLETE
179,1.0028877560765235,80,0.5080764256520844,True,-3.0369854151390818e-05,COMPLETE
180,1.0028691101661118,80,0.5009374719766655,True,-2.9071974403327427e-05,COMPLETE
181,1.003482488612701,200,0.6066562248116124,True,-5.942852415546929e-05,COMPLETE
182,1.002867970818033,80,0.5004992286058811,True,-2.8990681176177535e-05,COMPLETE
183,1.003266294141292,200,0.5000979061246692,True,-5.437287172008198e-05,COMPLETE
184,2.0045643246542806,390,0.5058287821424219,False,1.1404831299632878e-06,COMPLETE
185,1.002881141460373,80,0.5055509827182416,True,-2.9916404555963005e-05,COMPLETE
186,1.0030155722932879,80,0.5554416516280205,True,-3.772184423486702e-05,COMPLETE
187,1.0030562974659614,90,0.5041139040646309,True,-3.74188117100438e-05,COMPLETE
188,1.0036172736412243,330,0.554962981257163,True,-1.9154763309492395e-05,COMPLETE
189,1.004096012124275,250,0.8336171436071746,True,-3.364866823216128e-05,COMPLETE
190,1.0035880243973263,370,0.5030999978434638,True,-1.6845564131673374e-06,COMPLETE
191,1.0028675014226736,80,0.500318610147821,True,-2.8957122317291306e-05,COMPLETE
192,2.004604592591304,50,0.5077073599661691,False,4.140842015362689e-05,COMPLETE
193,1.003235485153292,180,0.5037701382588156,True,-4.846730981108993e-05,COMPLETE
194,1.0028857250106886,80,0.507301793437849,True,-3.0231428442467623e-05,COMPLETE
195,1.0028702397581064,80,0.5013717310005597,True,-2.9152343758775956e-05,COMPLETE
196,1.0028705134266402,80,0.5014769051311825,True,-2.917178091738082e-05,COMPLETE
197,1.0030999648986456,80,0.5853530650098087,True,-4.1237186398812575e-05,COMPLETE
198,1.0031276656900499,120,0.5041017898592438,True,-4.70178087693951e-05,COMPLETE
199,1.003284967540368,140,0.5225732307145968,True,-5.004907472461184e-05,COMPLETE
200,1.0034464268971315,250,0.525356042663664,True,-3.7921236056670526e-05,COMPLETE
201,1.0028920496325913,80,0.5097115639310922,True,-3.0660129389792345e-05,COMPLETE
202,1.0035504245520277,280,0.572411873403762,True,-4.23240538912073e-05,COMPLETE
203,2.0046866777484347,30,0.5699193139104543,False,0.0001234935772840562,COMPLETE
204,1.0043670357161745,210,0.9408297074396185,True,-1.732793916123243e-05,COMPLETE
205,1.0030734716810366,80,0.5760709689766723,True,-4.023971653355218e-05,COMPLETE
206,1.002872771197971,80,0.5023440787387576,True,-2.9331631452106377e-05,COMPLETE
207,2.0045799469277434,400,0.5074268475025048,False,1.676275659295845e-05,COMPLETE
208,1.00289217744539,80,0.5097601899936163,True,-3.0668721720666925e-05,COMPLETE
209,1.0035419140368047,300,0.5039593658288436,True,-1.215881413013653e-05,COMPLETE
210,1.0028746216324032,80,0.5030541168854111,True,-2.946197024333852e-05,COMPLETE
211,1.0029099245810504,80,0.5164844925977634,True,-3.1834708520167565e-05,COMPLETE
212,1.002884515843605,80,0.5068402808427735,True,-3.0148678543229224e-05,COMPLETE
213,1.0032261327716827,210,0.5016868577099023,True,-5.7545876535003426e-05,COMPLETE
