validation_season,model,brier,competition_score,prediction_mean
2022,official_852_baseline,0.2435622461405432,2248.0657797286362,0.5182892285287838
2022,fixed_iteration_catboost,0.24374829779266166,2173.395303710102,0.519033430542192
2022,selected_blend,0.24353333973996324,2259.6671531467714,0.5186556963729777
2023,official_852_baseline,0.2537378949304638,0.0,0.5098240143075439
2023,fixed_iteration_catboost,0.25276719006779536,0.0,0.5092776415410244
2023,selected_blend,0.25316202822260175,0.0,0.5095467262959599
2024,official_852_baseline,0.2480239578589654,713.7387745690837,0.47934359733268095
2024,fixed_iteration_catboost,0.24834807741420445,583.9907489850638,0.47910898498490895
2024,selected_blend,0.24810087316578072,682.948873018352,0.4792223790251477
