validation_season,iterations,raw_brier,refined_brier
2022,10,0.2461363848228425,0.2461363848228425
2023,10,0.25061763629755424,0.2508105568064023
2024,10,0.24912510893525075,0.2491175889256159
2022,20,0.24466389849798648,0.24466389849798648
2023,20,0.25164343192137645,0.2517902601315696
2024,20,0.24874903597788628,0.24870097429219692
2022,30,0.24417976526807608,0.24417976526807608
2023,30,0.25223426215085964,0.2523308673563925
2024,30,0.24854217691131436,0.24848399428202458
2022,40,0.24397363950874548,0.24397363950874548
2023,40,0.25262776949304827,0.25269443157355886
2024,40,0.2485096767017062,0.24844795531266045
2022,50,0.24384679721358515,0.24384679721358515
2023,50,0.2528394473068917,0.2528801465208789
2024,50,0.24850568260279582,0.2484344562788137
2022,60,0.24377446580416953,0.24377446580416953
2023,60,0.2530077740162182,0.253027829444365
2024,60,0.24843786032986478,0.2483642890498785
2022,70,0.24370668389737346,0.24370668389737346
2023,70,0.2530657392101508,0.253078901926352
2024,70,0.2484168648884661,0.24833959287487473
2022,80,0.24366133959560698,0.24366133959560698
2023,80,0.25304697568855467,0.2530599431706371
2024,80,0.24839000802652,0.24831921549718514
2022,90,0.24361951542095503,0.24361951542095503
2023,90,0.25315594859662244,0.2531700717016959
2024,90,0.24837613119963436,0.24830946659592443
2022,100,0.2436112362937343,0.2436112362937343
2023,100,0.2532129772973226,0.2532288862918081
2024,100,0.2483623252667696,0.24829548778945792
2022,110,0.2435976972726542,0.2435976972726542
2023,110,0.2532167106364944,0.25323619205075026
2024,110,0.24835202296561495,0.2482859246350388
2022,120,0.24358399459945387,0.24358399459945387
2023,120,0.2532029385462646,0.253220254567638
2024,120,0.24833881425134915,0.24827000256721582
2022,130,0.24356953836871453,0.24356953836871453
2023,130,0.2532777520210533,0.2532999922762778
2024,130,0.2483168992467446,0.24824423445584062
2022,140,0.2435586901347282,0.2435586901347282
2023,140,0.25328843813963875,0.2533128392948607
2024,140,0.24832261906518296,0.24824913285952602
2022,150,0.24354749824886554,0.24354749824886554
2023,150,0.2532944696328142,0.2533187067926005
2024,150,0.24830058529998,0.24822647755836894
2022,160,0.24356028228871895,0.24356028228871895
2023,160,0.2533012861019847,0.25333278149455757
2024,160,0.24828379592558847,0.24820962523287116
2022,170,0.24355072307252437,0.24355072307252437
2023,170,0.25328974574494384,0.2533164621922028
2024,170,0.24830452386697516,0.24822371903102095
2022,180,0.24354327236519793,0.24354327236519793
2023,180,0.25328093191499984,0.25330608338765875
2024,180,0.24830119094829534,0.24821847807943395
2022,190,0.24352837059441299,0.24352837059441299
2023,190,0.253298355346464,0.2533217843226682
2024,190,0.24828835337190444,0.24820147374027704
2022,200,0.24352472216988766,0.24352472216988766
2023,200,0.2533066566521907,0.2533296151017409
2024,200,0.24832140797337193,0.24823055587562523
2022,210,0.24352459713780045,0.24352459713780045
2023,210,0.25327795181872925,0.25329969384424095
2024,210,0.24831945271863198,0.24822721028876726
2022,220,0.24352848212012804,0.24352848212012804
2023,220,0.2533242635322114,0.25334733503171325
2024,220,0.2483272394336317,0.24823413973204939
2022,230,0.24353139518855862,0.24353139518855862
2023,230,0.2534018523295936,0.2534289824331254
2024,230,0.24834537695108064,0.24824680064500215
2022,240,0.24354025015449343,0.24354025015449343
2023,240,0.2533912277560741,0.253421245303925
2024,240,0.24838286872092272,0.2482791926405953
2022,250,0.24354033648885348,0.24354033648885348
2023,250,0.253389314520056,0.25342283229919993
2024,250,0.2484201205441129,0.24831344384218923
2022,260,0.2435424976865386,0.2435424976865386
2023,260,0.2534087569078584,0.25343878233767764
2024,260,0.2484160220626967,0.24830769410049788
2022,270,0.24354393098044583,0.24354393098044583
2023,270,0.25342202326896335,0.2534540349179479
2024,270,0.24841487834079912,0.2483054109179316
2022,280,0.24354862160049365,0.24354862160049365
2023,280,0.2534131608059561,0.25344178651104676
2024,280,0.24841722602012556,0.2483067146568359
2022,290,0.24356275406185335,0.24356275406185335
2023,290,0.2534209512838879,0.25345080641449047
2024,290,0.24841772255744934,0.24830541636502967
2022,300,0.24359044649074332,0.24359044649074332
2023,300,0.25347819734996013,0.2535093418472536
2024,300,0.2484168069313184,0.24830165837335108
2022,310,0.24358595927885093,0.24358595927885093
2023,310,0.2534705135365263,0.2535026283028219
2024,310,0.24841068817195977,0.2482960227915
2022,320,0.24359056660761413,0.24359056660761413
2023,320,0.2534735299017497,0.2535022687910271
2024,320,0.24839947690243486,0.24828554737453057
2022,330,0.2436173785596588,0.2436173785596588
2023,330,0.25347507899932314,0.2535041728694236
2024,330,0.2484226231324253,0.24830665469499452
2022,340,0.2436231702292355,0.2436231702292355
2023,340,0.2534688448960222,0.253495802539402
2024,340,0.2484294104419079,0.2483118470526028
2022,350,0.24362840777975464,0.24362840777975464
2023,350,0.2534766528347185,0.25350564401427883
2024,350,0.2484357788428826,0.24831798059614305
2022,360,0.24363945085570876,0.24363945085570876
2023,360,0.2534937319443383,0.2535235861062983
2024,360,0.24847514698126977,0.24835312111532268
2022,370,0.24364081887142236,0.24364081887142236
2023,370,0.25349384906967987,0.2535235933726496
2024,370,0.24847607304564973,0.24835419004734519
2022,380,0.2436468591527653,0.2436468591527653
2023,380,0.2534998644528468,0.2535343401315839
2024,380,0.2484786144423649,0.2483584987634794
2022,390,0.2436516664102665,0.2436516664102665
2023,390,0.25359537556856315,0.25362795081785217
2024,390,0.2484834156624971,0.24836053965475396
2022,400,0.24367698109337427,0.24367698109337427
2023,400,0.2536635824069868,0.2537037461691104
2024,400,0.24852412974182883,0.24840138695411315
