number,value,params_calibration_intercept,params_calibration_slope,params_hist_weight,state,duration,user_attrs_competition_score,user_attrs_prediction_mean
0,0.24804941860982627,0.0,1.0,0.45,COMPLETE,0 days 00:00:00.030502,703.5466028821658,0.49514519242580673
1,0.24913205028119942,0.011696072251927675,0.8919184417479479,0.8348421486656494,COMPLETE,0 days 00:00:00.027563,270.1592323120838,0.453603158131259
2,0.24797683285830782,-0.008614242907277234,0.9937243351232288,0.3605008362562857,COMPLETE,0 days 00:00:00.026398,732.6033438063706,0.48335156384899913
3,0.2480213092475334,-0.023514638561559026,1.0136290439443594,0.39377955108825136,COMPLETE,0 days 00:00:00.024266,714.7990379758551,0.4783327624116599
4,0.25681833813153415,-0.031506833659159406,1.2342104900822668,0.7101479933270735,COMPLETE,0 days 00:00:00.024959,0.0,0.5798665610477957
5,0.26014488486510834,-0.06731516959802139,0.8953854804479882,0.427651521061609,COMPLETE,0 days 00:00:00.023378,0.0,0.3760144421798101
6,0.27199660180545265,0.03227364217347467,1.2273402881617579,0.9574720690679174,COMPLETE,0 days 00:00:00.023755,0.0,0.6404896534370889
7,0.24875697396453822,-0.00447519792897412,0.9355299248522434,0.6464105624033935,COMPLETE,0 days 00:00:00.023857,420.30571605086163,0.45889674333215436
8,0.2511612322581352,0.031079477773447745,1.033481628122145,0.1391462519849035,COMPLETE,0 days 00:00:00.023169,0.0,0.5425427840898891
9,0.2570946194851509,0.02940115040554392,1.1159404391050125,0.2584503058670736,COMPLETE,0 days 00:00:00.023644,0.0,0.5817805954978971
10,0.25024610347853,-0.060095319281599176,1.1999808971622168,0.0405799091041289,COMPLETE,0 days 00:00:00.022776,0.0,0.5336716078930995
11,0.24835466037424833,-0.02363347275210008,0.9926910246756043,0.04959419405615073,COMPLETE,0 days 00:00:00.022496,581.3555298062489,0.4675708423849857
12,0.24968866467504267,-0.0324373192309199,1.1319139115315355,0.3880090777217645,COMPLETE,0 days 00:00:00.022692,47.34139412413407,0.5279675908972529
13,0.25242223739685493,-0.07515977511210492,0.9994584427015837,0.9034959744798203,COMPLETE,0 days 00:00:00.022476,0.0,0.42008430381999284
14,0.25053037387271154,-0.08451113247103365,1.0498600452665532,0.44750787220251625,COMPLETE,0 days 00:00:00.021545,0.0,0.4353199029492943
15,0.257243862472468,-0.03580330739412202,0.8609246076641675,0.20139919241893697,COMPLETE,0 days 00:00:00.022048,0.0,0.3903060573377859
16,0.24902167192701977,0.0320758542785879,0.8542403332104231,0.43161657395206693,COMPLETE,0 days 00:00:00.021418,314.3446981086817,0.45503613166828055
17,0.2513457764572936,0.046211601034343415,1.0048054098518442,0.7008911531031864,COMPLETE,0 days 00:00:00.021109,0.0,0.5439403135991403
18,0.24866975107879694,-0.0393846245077691,1.0077911434465285,0.3457375531797677,COMPLETE,0 days 00:00:00.021596,455.2218358213067,0.4595332270177558
19,0.24810068104736577,-0.018205623631395395,1.0371684227553764,0.7593135123706598,COMPLETE,0 days 00:00:00.021246,683.0257797788786,0.49560312237866666
20,0.26541045260962826,-0.0003376533488721918,1.2495208411925567,0.34173587028982577,COMPLETE,0 days 00:00:00.021002,0.0,0.6182470374853684
21,0.24811097232930399,-0.009539652396558598,0.9776730188100702,0.45715849874779624,COMPLETE,0 days 00:00:00.022451,678.9060853925721,0.4745561100604121
22,0.2484131102593268,-0.01472022491694654,1.0552237300789962,0.3156063981481881,COMPLETE,0 days 00:00:00.021303,557.9575056452235,0.5076538918479783
23,0.24809230361468293,0.013881772729002088,0.9350804314780081,0.2770533273137271,COMPLETE,0 days 00:00:00.021105,686.3793427851595,0.4767513950181863
24,0.25073973907160785,0.014678432527514837,1.0583370330669037,0.5644207861957744,COMPLETE,0 days 00:00:00.021472,0.0,0.5388069881139709
25,0.24847764382183923,-0.043685434195067145,1.0241687108321573,0.5386923361208131,COMPLETE,0 days 00:00:00.020973,532.1241297055468,0.46350033689648684
26,0.2482325925527578,0.003243776447789979,1.0084773845348098,0.37884834723931354,COMPLETE,0 days 00:00:00.021233,630.2203963955421,0.5025283989818957
27,0.2542637110921102,-0.020455269035631347,0.8638018468150379,0.4783528865570739,COMPLETE,0 days 00:00:00.033623,0.0,0.4072718953256844
28,0.24958869987886242,-0.08191454259960021,1.229062984818393,0.41311289664581957,COMPLETE,0 days 00:00:00.022423,87.35821730756487,0.5266133725807018
29,0.2512225682256053,-0.0850220036602439,1.0396265000683638,0.011352854874047358,COMPLETE,0 days 00:00:00.022314,0.0,0.42937477352075254
30,0.25093502770655424,-0.07880609303425117,1.245531142973332,0.9837557767287839,COMPLETE,0 days 00:00:00.021470,0.0,0.5384510180784415
31,0.24914645470556726,0.01573432236070573,0.883584738007043,0.169778479355326,COMPLETE,0 days 00:00:00.020605,264.39300935148236,0.45303655480842236
32,0.24802305387297785,0.005222561158535206,0.959496656247775,0.30986541878999047,COMPLETE,0 days 00:00:00.020631,714.100648436744,0.48020383485079937
33,0.2479914805101845,-0.003679391560121769,0.9990563885334403,0.3155792390933845,COMPLETE,0 days 00:00:00.021010,726.7397546469989,0.49088982679300436
34,0.24939685903228817,-0.02044946661351008,0.9477653360542128,0.27394291914730673,COMPLETE,0 days 00:00:00.021731,164.1538646760754,0.44869686147442545
35,0.24823562915265412,0.002202977097089765,1.0108440522106976,0.3470229144251707,COMPLETE,0 days 00:00:00.021011,629.0048176540996,0.5026332561173643
36,0.24899466872180584,0.0323077342092529,0.9810748274623529,0.40000363256169885,COMPLETE,0 days 00:00:00.020225,325.1543283957714,0.5180424982699519
37,0.24798546610246563,-0.016215022391239828,1.005259743705395,0.39064836130346337,COMPLETE,0 days 00:00:00.021030,729.1473771244616,0.48148619189858144
38,0.2482506595435937,-0.01826590759334662,1.0535200100347306,0.46743904852557183,COMPLETE,0 days 00:00:00.020549,622.9880145435129,0.5033943382087332
39,0.2498770474219439,-0.03252964087736957,0.9597180227639595,0.3764493182375347,COMPLETE,0 days 00:00:00.020533,0.0,0.44261296304433273
40,0.2479738711295968,-0.03213371948181253,1.0418772777035217,0.17448324372252938,COMPLETE,0 days 00:00:00.020568,733.7889509268281,0.4835143527175036
41,0.24839858234983395,-0.017189083808576585,1.059115990438879,0.1723897682352059,COMPLETE,0 days 00:00:00.020777,563.773160832004,0.5069890125153483
42,0.24802609034507683,-0.05298771144762752,1.0727959689536863,0.16816691913706613,COMPLETE,0 days 00:00:00.021996,712.8851208537457,0.47795721660357765
43,0.2486109134809117,-0.03773701194606316,1.0073311347382832,0.2218846796484944,COMPLETE,0 days 00:00:00.021417,478.7750649687616,0.46085207767221287
44,0.2527518812979986,-0.009973566367017846,1.1423233375825081,0.13063082223261946,COMPLETE,0 days 00:00:00.021057,0.0,0.5553469138340669
45,0.2481442615982249,-0.029463264549521927,1.013974227530363,0.40460602153325315,COMPLETE,0 days 00:00:00.020297,665.5800862487072,0.4725639263442916
46,0.26456342419579937,-0.09425767486098577,0.9121041267474758,0.7495257896095842,COMPLETE,0 days 00:00:00.020645,0.0,0.3575875310917366
47,0.2661061310831773,0.04876715535333107,1.1545994519173348,0.6911806736015944,COMPLETE,0 days 00:00:00.020543,0.0,0.6206870219998535
48,0.24827400323951845,0.010133631242398182,0.9955251819444438,0.11432580995169314,COMPLETE,0 days 00:00:00.020091,613.6433193311697,0.5027925309879842
49,0.24797062353530003,-0.020229753729174276,1.0274201811358,0.21881119545688058,COMPLETE,0 days 00:00:00.020283,735.088992658628,0.4883000625795671
50,0.2479896083631461,-0.015317493472516822,1.01058446877551,0.12097013683571395,COMPLETE,0 days 00:00:00.020319,727.4891922477433,0.48479928370246483
51,0.24848346672742244,-0.0005887954589033212,1.0278029549344483,0.0195267548208424,COMPLETE,0 days 00:00:00.021038,529.7931672863742,0.5079646131829632
52,0.2488475227594815,-0.04237177488634673,1.0087035912022992,0.1172305953435255,COMPLETE,0 days 00:00:00.020226,384.05820437499295,0.4568111413627368
53,0.24836184057133098,-0.026115940508403577,1.0743989438656303,0.0497432022288366,COMPLETE,0 days 00:00:00.020246,578.4812311725562,0.5055192944052603
54,0.24798162027804405,-0.016040931289415195,1.009494956112044,0.1985543882429604,COMPLETE,0 days 00:00:00.019844,730.6868958525947,0.4836000924312064
55,0.24800265803379037,-0.018839767473685803,1.009388230546152,0.20846544246880266,COMPLETE,0 days 00:00:00.020638,722.2652896067383,0.4807565345126835
56,0.2567405480571529,-0.02894497835398504,0.8520895354775377,0.9731505183777172,COMPLETE,0 days 00:00:00.020087,0.0,0.3933240380190036
57,0.24801059695902192,-0.024920722915353594,1.0467989289466346,0.21114853158499636,COMPLETE,0 days 00:00:00.020076,719.0872651481661,0.49319426372883723
58,0.24892120339962615,-0.01802055129036275,0.9573589716894475,0.18083915361307704,COMPLETE,0 days 00:00:00.019989,354.56316950897013,0.45580247232924914
59,0.2501391564726465,-0.0018517098712858109,1.0803745150779143,0.224464862787036,COMPLETE,0 days 00:00:00.020773,0.0,0.532893222776678
60,0.2490186856735153,0.025973158556631404,0.9897944649077375,0.9813641051979586,COMPLETE,0 days 00:00:00.019703,315.54012272850815,0.5164910294229524
61,0.24802651563390934,-0.01717281602672564,1.0335789998454268,0.2938292119454171,COMPLETE,0 days 00:00:00.019705,712.7148738401589,0.494468145189377
62,0.24798136773727386,-0.008246677423336648,0.9942150192972227,0.2442338223446595,COMPLETE,0 days 00:00:00.019466,730.7879902351489,0.4838684468966067
63,0.24810151966539193,-0.03224555323303596,1.0267633825360758,0.05807687050004734,COMPLETE,0 days 00:00:00.019772,682.6900733046704,0.4758255313615569
64,0.24867691977640383,-0.015754822342435186,0.9625750582255294,0.055873936097556476,COMPLETE,0 days 00:00:00.019915,452.3521405330522,0.460552376622986
65,0.24816047837925578,-0.0237016676712083,1.0025511194110468,0.21675158020959814,COMPLETE,0 days 00:00:00.020535,659.0883603220354,0.4725173360064503
66,0.24800377888910327,-0.010563837995273658,0.995176968288514,0.16438597357311627,COMPLETE,0 days 00:00:00.020097,721.8166009624882,0.4819630826096079
67,0.25504436123360885,-0.0588530301799414,0.9314442071631189,0.2768393840751686,COMPLETE,0 days 00:00:00.020026,0.0,0.4022164810027187
68,0.24815137758648453,-0.048968774407740945,1.110189331021422,0.24575462281327626,COMPLETE,0 days 00:00:00.019822,662.7314909947612,0.500552515620061
69,0.2480177432471409,0.004317984082841507,0.9618612587130363,0.5024004095905064,COMPLETE,0 days 00:00:00.020446,716.226540583087,0.4806197769083396
70,0.24806040885047972,-0.01631976582006124,1.0357224498679045,0.32368978930020936,COMPLETE,0 days 00:00:00.021204,699.1471089225043,0.4964072877817642
71,0.24926553551616448,-0.03941251591299945,1.1300426598485473,0.905974739929239,COMPLETE,0 days 00:00:00.020606,216.72387057168896,0.5205399337265083
72,0.24965519281970208,0.01468639634870137,1.035526583899845,0.2016030102678644,COMPLETE,0 days 00:00:00.020555,60.74048428353906,0.5272141113696064
73,0.24834374604792267,-0.0039384077232078145,0.9527679699489314,0.20306696626800166,COMPLETE,0 days 00:00:00.019937,585.724634565421,0.4676295537382069
74,0.24903866890914908,0.010706548230685297,1.026696349017932,0.37298801240391044,COMPLETE,0 days 00:00:00.033274,307.54065053884005,0.5190062813955897
75,0.24845586061910085,-0.015656202027952905,0.9693857292451625,0.40986701737284736,COMPLETE,0 days 00:00:00.020397,540.8441452075974,0.4642989772075872
76,0.2500869757807131,-0.00911201339314278,1.0936983662660995,0.4383555872571977,COMPLETE,0 days 00:00:00.019763,0.0,0.5324171616127218
77,0.24854912292427306,-0.07938569270568105,1.0936970760804061,0.6836304759271763,COMPLETE,0 days 00:00:00.020485,503.5103905423388,0.46236007389373285
78,0.24815653460101705,-0.008333944603413917,0.9718918776058239,0.34860959778067124,COMPLETE,0 days 00:00:00.020312,660.6670908600342,0.4728138493861397
79,0.2479870168975201,-0.005560522787560992,0.9878725209654771,0.23976837603560938,COMPLETE,0 days 00:00:00.019989,728.5265796651674,0.48341162860065096
80,0.2480603002443605,0.006688770241612976,0.9867296033308235,0.2488697921692307,COMPLETE,0 days 00:00:00.020442,699.1905849464297,0.4951024784286764
81,0.24809329127496887,-0.00685199098879407,1.0187773544617929,0.2550228935032081,COMPLETE,0 days 00:00:00.020579,685.983973329729,0.49742986366091757
82,0.24802176856857777,-0.005078294563782784,0.9788337284888772,0.3159403547462881,COMPLETE,0 days 00:00:00.019938,714.6151675562762,0.4794802584063118
83,0.24816208201437245,-0.0041452282773041344,1.0185891333123989,0.22341158266778266,COMPLETE,0 days 00:00:00.020617,658.4464105020338,0.5000173850311582
84,0.24850485877673745,-0.04419580035120516,1.0242695192202675,0.2628165479870634,COMPLETE,0 days 00:00:00.019443,521.2297340810857,0.4628110704829944
85,0.25145017823463855,-0.031242706672408183,0.9268001776128825,0.22968286524762857,COMPLETE,0 days 00:00:00.019746,0.0,0.42749259535735246
86,0.24863632203300837,0.04725691664488263,0.9367482791362954,0.12153994902778528,COMPLETE,0 days 00:00:00.020608,468.6037889250816,0.5108341649363622
87,0.24798790089024644,-0.011427370966061976,1.010822729333391,0.5939697757129092,COMPLETE,0 days 00:00:00.021281,728.1727092830148,0.48919449039151075
