mode,lambda,threshold,objective,objective_delta,brier,competition_score,prediction_mean,new_pitcher_brier,existing_pitcher_brier,new_pitcher_brier_delta
new_or_low,1.0,50.0,1.0018108460272372,-1.6411427177231985e-06,0.24862940826946128,464.5732137229408,0.5140668417664084,0.24813010257212012,0.24871595305340768,-3.4260008431596933e-06
new_or_low,1.0,25.0,1.0018109032334763,-1.5839364786440768e-06,0.24862942152520137,464.5679069663622,0.5140670681584638,0.24813010257212012,0.24871596860676862,-3.4260008431596933e-06
new_or_low,1.0,100.0,1.0018109362840701,-1.5508858848267693e-06,0.2486293931205448,464.57927838712277,0.5140667592488755,0.24813010257212012,0.24871593527872563,-3.4260008431596933e-06
new_only,1.0,0.0,1.0018110867812549,-1.4003887001123871e-06,0.24862947101281593,464.5480952680248,0.5140671405691032,0.24813010257212012,0.24871602667208403,-3.4260008431596933e-06
new_or_low,1.0,200.0,1.0018111008453339,-1.386324621099888e-06,0.2486294257302369,464.56622353716614,0.5140668230159441,0.24813010257212012,0.24871597354066405,-3.4260008431596933e-06
all,1.0,0.0,1.0018113171494525,-1.170020502483382e-06,0.24862943847576088,464.56112103872016,0.5140684621695911,0.24813010257212012,0.24871598849537288,-3.4260008431596933e-06
identity,0.0,0.0,1.001812487169955,0.0,0.24862997711891688,464.34548252358707,0.5140733373130768,0.24813352857296328,0.24871602667208403,0.0
new_or_low,2.0,50.0,1.0018133227742276,8.356042726642698e-07,0.24862988680671383,464.3816377947529,0.5140657706578685,0.24813371720655625,0.24871588801013506,1.8863359296794613e-07
new_or_low,2.0,25.0,1.0018134297310592,9.42561104277928e-07,0.24862991130809267,464.37182899853326,0.5140662115682115,0.24813371720655625,0.24871591675834415,1.8863359296794613e-07
new_or_low,2.0,100.0,1.0018135046512109,1.0174812559160529e-06,0.24862985802790635,464.3931590017747,0.5140656080404061,0.24813371720655625,0.2487158542430894,1.8863359296794613e-07
new_only,2.0,0.0,1.0018137775461877,1.2903762327542978e-06,0.24863000498482124,464.33432678499867,0.5140663493366672,0.24813371720655625,0.24871602667208403,1.8863359296794613e-07
new_or_low,2.0,200.0,1.001813834154763,1.3469848081371083e-06,0.2486299234933238,464.3669508057613,0.5140657348008537,0.24813371720655625,0.2487159310556445,1.8863359296794613e-07
