validation_season,brier,competition_score,fit_seconds,source
2022,0.24444675811363165,1893.0733390673192,31.36000874999445,fitted
2023,0.25551200401767377,0.0,46.081634665999445,fitted
2024,0.24939149582656991,166.3008050303283,67.18901258299593,fitted
