season,game_month,time_series_probability,time_series_logit_offset,training_global_rate
2022,4,0.525533434956396,-0.07077693283797194,0.5431423520563061
2022,5,0.5246927756514722,-0.074148075146932,0.5431423520563061
2022,6,0.5238519763772586,-0.07751921745589205,0.5431423520563061
2022,7,0.5230110418776398,-0.08089035976485211,0.5431423520563061
2022,8,0.5221699768995633,-0.08426150207381217,0.5431423520563061
2022,9,0.5213287861929331,-0.08763264438277223,0.5431423520563061
2022,10,0.5204874745105023,-0.09100378669173229,0.5431423520563061
2023,4,0.5195134821098555,-0.08038326970078671,0.5395365039034485
2023,5,0.518769598561367,-0.08336317177501547,0.5395365039034485
2023,6,0.5180256317951426,-0.08634307384924421,0.5395365039034485
2023,7,0.5172815851009033,-0.08932297592347296,0.5395365039034485
2023,8,0.5165374617697871,-0.09230287799770172,0.5395365039034485
2023,9,0.5157932650942904,-0.09528278007193047,0.5395365039034485
2023,10,0.5150489983682104,-0.09826268214615923,0.5395365039034485
2024,3,0.5004406109166691,-0.1247319982063416,0.5315815109059132
2024,4,0.4994662130978189,-0.12862959074910546,0.5315815109059132
2024,5,0.49849181933339287,-0.1325271832918693,0.5315815109059132
2024,6,0.4975174370243916,-0.13642477583463314,0.5315815109059132
2024,7,0.4965430735714674,-0.14032236837739698,0.5315815109059132
2024,8,0.4955687363746996,-0.14421996092016084,0.5315815109059132
2024,9,0.4945944328333703,-0.14811755346292468,0.5315815109059132
2024,10,0.49362017034573863,-0.15201514600568855,0.5315815109059132
