config_id,season,game_month,time_series_probability,time_series_logit_offset,training_global_rate
1,2022,4,0.5142497078985624,-0.11598532323371098,0.5431423520563061
1,2022,5,0.5128694281348286,-0.1215105092922783,0.5431423520563061
1,2022,6,0.5114889520653316,-0.1270356953508456,0.5431423520563061
1,2022,7,0.5101083007237842,-0.13256088140941294,0.5431423520563061
1,2022,8,0.5087274951545917,-0.13808606746798024,0.5431423520563061
1,2022,9,0.5073465564115701,-0.14361125352654758,0.5431423520563061
1,2022,10,0.5059655055566625,-0.14913643958511488,0.5431423520563061
1,2023,4,0.5139874335241313,-0.10251252622892154,0.5395365039034485
1,2023,5,0.5130383600863072,-0.10631159594011211,0.5395365039034485
1,2023,6,0.5120891926218167,-0.11011066565130267,0.5395365039034485
1,2023,7,0.5111399379672971,-0.11390973536249324,0.5395365039034485
1,2023,8,0.5101906029618999,-0.1177088050736838,0.5395365039034485
1,2023,9,0.5092411944470945,-0.12150787478487435,0.5395365039034485
1,2023,10,0.5082917192664708,-0.12530694449606491,0.5395365039034485
1,2024,3,0.4960591808511192,-0.14225804534299966,0.5315815109059132
1,2024,4,0.4949481507673463,-0.14670252692413369,0.5315815109059132
1,2024,5,0.4938371705739569,-0.15114700850526774,0.5315815109059132
1,2024,6,0.49272625123958796,-0.15559149008640177,0.5315815109059132
1,2024,7,0.4916154037304735,-0.16003597166753583,0.5315815109059132
1,2024,8,0.4905046390100108,-0.16448045324866986,0.5315815109059132
1,2024,9,0.4893939680383273,-0.16892493482980392,0.5315815109059132
1,2024,10,0.4882834017718492,-0.17336941641093795,0.5315815109059132
2,2022,4,0.515331223019904,-0.11165547229841138,0.5431423520563061
2,2022,5,0.5140059314840164,-0.11696120803932808,0.5431423520563061
2,2022,6,0.5126804429644298,-0.12226694378024476,0.5431423520563061
2,2022,7,0.5113547760779665,-0.12757267952116144,0.5431423520563061
2,2022,8,0.5100289494514813,-0.13287841526207814,0.5431423520563061
2,2022,9,0.5087029817208153,-0.1381841510029948,0.5431423520563061
2,2022,10,0.5073768915297495,-0.1434898867439115,0.5431423520563061
2,2023,4,0.5159494287450628,-0.09465749542779797,0.5395365039034485
2,2023,5,0.5150782607532658,-0.09814552626916784,0.5395365039034485
2,2023,6,0.5142070011213016,-0.10163355711053772,0.5395365039034485
2,2023,7,0.513335655135548,-0.1051215879519076,0.5395365039034485
2,2023,8,0.5124642280844812,-0.10860961879327749,0.5395365039034485
2,2023,9,0.5115927252585484,-0.11209764963464736,0.5395365039034485
