number,value,params_hist_weight,state,duration,user_attrs_season_2021_brier,user_attrs_season_2022_brier,user_attrs_season_2023_brier,user_attrs_weighted_mean_normalized_brier,user_attrs_weighted_std_normalized_brier
0,1.0031578722364445,0.45,COMPLETE,0 days 00:00:00.050772,0.2457224785425184,0.2436167859280348,0.2534554404496314,0.9989926345137632,0.016660950890725425
1,1.0023122740481334,0.8348421486656494,COMPLETE,0 days 00:00:00.061257,0.24573400559045763,0.24370736924287767,0.25311128887152284,0.9983515119483142,0.01584304839927708
2,1.0041241953066729,0.10479610436986975,COMPLETE,0 days 00:00:00.052825,0.24575719497821516,0.24358747225149463,0.25381726849295044,0.9997742813985961,0.017399655632307075
3,1.0024885551527618,0.7446404816795178,COMPLETE,0 days 00:00:00.046193,0.2457265522556038,0.24368066029613308,0.25318635090020536,0.9984799988053625,0.016034225389596687
4,1.0033895328902815,0.3605008362562857,COMPLETE,0 days 00:00:00.045971,0.24572738774973377,0.2436044693069901,0.2535444255300054,0.9991765303583158,0.01685201012786296
5,1.003392702091887,0.35931083780807194,COMPLETE,0 days 00:00:00.052767,0.24572747231788297,0.2436043277848412,0.25354563144217185,0.9991790639281235,0.016854552655053912
6,1.0027783603600182,0.6092383806181517,COMPLETE,0 days 00:00:00.045283,0.24572082537941997,0.24364686309835276,0.25330546605231724,0.9986979084225165,0.01632180775000722
7,1.0033018510178875,0.39377955108825136,COMPLETE,0 days 00:00:00.043300,0.24572522785103515,0.2436086634319111,0.25351094358103227,0.9991066183874862,0.016780930521605186
8,1.003262169832109,0.40907260986089866,COMPLETE,0 days 00:00:00.040420,0.24572436808366932,0.2436107439116872,0.2534957137084916,0.9990750995391766,0.01674828117172903
9,1.003010200283074,0.5099024095896064,COMPLETE,0 days 00:00:00.041548,0.24572079280644427,0.2436268740025179,0.2533977686393527,0.9988768870531808,0.01653325291957312
10,1.0020337983956507,0.9940980185003795,COMPLETE,0 days 00:00:00.041068,0.24575426750857438,0.24376271308200476,0.2529871372484756,0.9981572234864268,0.015506299636895387
11,1.0020865866866235,0.9619838562408558,COMPLETE,0 days 00:00:00.037694,0.24574945168123136,0.2437507114144241,0.25301131190218257,0.9981930554239107,0.01557412505085121
12,1.0020582564666844,0.9790899824909726,COMPLETE,0 days 00:00:00.041888,0.24575197101019186,0.2437570513847992,0.2529983807656951,0.9981737585413719,0.015537991701249747
13,1.0020336844993762,0.9941684451719808,COMPLETE,0 days 00:00:00.038294,0.24575427847497228,0.2437627398689312,0.2529870847110248,0.9981571467644578,0.015506150939674083
14,1.0020310406705635,0.9958046551350545,COMPLETE,0 days 00:00:00.041281,0.245754533754525,0.24376336278019833,0.2529858647066816,0.9981553665857497,0.015502696339254909
15,1.0024422235943171,0.7676948139644676,COMPLETE,0 days 00:00:00.038754,0.24572818046339864,0.24368716769656945,0.2531668397360987,0.9984458904743612,0.01598533247982341
16,1.0020283797736287,0.997454193976458,COMPLETE,0 days 00:00:00.038310,0.24575479208263787,0.2437639918828631,0.25298463590645714,0.9981535763477426,0.015499213703544495
17,1.002496438383357,0.7407607054867578,COMPLETE,0 days 00:00:00.037789,0.24572629692978473,0.2436795867131345,0.25318965643017377,0.9984858244911454,0.016042455568846058
18,1.002039752751417,0.9904232166371418,COMPLETE,0 days 00:00:00.041258,0.2457536977521657,0.24376131820022884,0.2529898815076877,0.99816123805195,0.01551405879786813
19,1.0024683464837152,0.754642640062982,COMPLETE,0 days 00:00:00.039616,0.24572723531588073,0.2436834566360212,0.2531778584315492,0.9984650938494471,0.016013010537072526
20,1.0023665056218953,0.8063504282644669,COMPLETE,0 days 00:00:00.036787,0.2457313369866017,0.24369857040510357,0.25313462785551716,0.998390655598826,0.01590340009227688
21,1.0020307654596363,0.9959751345528701,COMPLETE,0 days 00:00:00.039037,0.24575456040758925,0.2437634277458306,0.25298573765734034,0.9981551813584395,0.015502336404787471
22,1.0020247875081818,0.9996855315837869,COMPLETE,0 days 00:00:00.040756,0.24575514307226948,0.24376484465719786,0.2529829755290093,0.9981511617834602,0.01549450289888627
23,1.0020261248929658,0.9988542182191054,COMPLETE,0 days 00:00:00.041650,0.24575501209851358,0.24376452670534365,0.2529835938785275,0.9981520604063314,0.015496257946537329
24,1.002278695579897,0.8528459526783168,COMPLETE,0 days 00:00:00.041480,0.24573584153000394,0.24371310171689783,0.2530967175173709,0.9983274633425369,0.015804928949440362
25,1.0020342705265928,0.9938061347675804,COMPLETE,0 days 00:00:00.037445,0.2457542220771841,0.24376260208523415,0.25298735501252534,0.9981575415477335,0.015506915915437071
26,1.002344901092611,0.8176167598286415,COMPLETE,0 days 00:00:00.035587,0.24573235752255673,0.24370200968661515,0.2531253581349945,0.9983750181670946,0.015879531702065557
27,1.0020581127296984,0.9791775219657682,COMPLETE,0 days 00:00:00.037682,0.2457519841717842,0.2437570841393828,0.2529983149087295,0.9981736610244931,0.015537806820820555
28,1.0023611589416728,0.8091284757142956,COMPLETE,0 days 00:00:00.037492,0.24573158441406134,0.24369941360177683,0.2531323371608603,0.9983867803996727,0.01589751416800044
29,1.0020492694023209,0.9845782173871009,COMPLETE,0 days 00:00:00.037582,0.24575280146754166,0.24375911102258768,0.25299425815075594,0.9981676690732039,0.015526401316467575
30,1.0023678291978402,0.805663739221057,COMPLETE,0 days 00:00:00.038411,0.24573127625184035,0.2436983624706748,0.25313519458024386,0.9983916154363439,0.01590485504598513
31,1.0020344201514857,0.9937136508548499,COMPLETE,0 days 00:00:00.034151,0.24575420768851763,0.24376256692302378,0.2529874240189697,0.9981576423551963,0.01550711118515733
32,1.0020252833691734,0.9993772236070387,COMPLETE,0 days 00:00:00.040778,0.24575509446939506,0.2437647267056242,0.25298320482140435,0.9981514949222527,0.015495153787683002
33,1.00424407564515,0.06631984948387382,COMPLETE,0 days 00:00:00.039530,0.24576370376771078,0.24358724749727442,0.25386070955552287,0.9998735032390147,0.017482289624541833
34,1.0020578113449117,0.979361097947304,COMPLETE,0 days 00:00:00.038218,0.24575201178139883,0.24375715283813634,0.2529981768128734,0.9981734565660383,0.015537419115493944
35,1.0020279151677574,0.9977424972554054,COMPLETE,0 days 00:00:00.036755,0.24575483733262105,0.243764101951381,0.25298442125684667,0.9981532639112464,0.015498605026043739
36,1.002314416259789,0.833703195907695,COMPLETE,0 days 00:00:00.035390,0.24573389334362086,0.24370701108983184,0.25311221527729566,0.9983530511761834,0.015845460334422086
37,1.002285032114005,0.8494264376907368,COMPLETE,0 days 00:00:00.036456,0.24573548390847955,0.24371200265305248,0.2530994745845118,0.9983319900883627,0.015812168102569843
38,1.0020353773972313,0.993122178532259,COMPLETE,0 days 00:00:00.038058,0.24575411573945524,0.24376234212973,0.25298786542858687,0.9981582873915884,0.01550836002257168
39,1.0022835115158046,0.8502460813189296,COMPLETE,0 days 00:00:00.037300,0.2457355692478998,0.243712265654932,0.2530988132776991,0.9983309032994651,0.015810432865358545
40,1.0020265441377887,0.9985937629523504,COMPLETE,0 days 00:00:00.035877,0.24575497111451983,0.24376442714780114,0.25298378767093527,0.9981523421831219,0.01549680781866697
41,1.0020327191775185,0.9947655459230116,COMPLETE,0 days 00:00:00.038849,0.24575437152300167,0.2437629670595517,0.25298663936505816,0.9981564966167689,0.015504890242998217
42,1.0020338359147112,0.994074820055662,COMPLETE,0 days 00:00:00.057142,0.24575426389664695,0.24376270425887717,0.25298715455469445,0.9981572487603138,0.01550634861758985
43,1.002070697368627,0.971542098044905,COMPLETE,0 days 00:00:00.039809,0.24575084648653883,0.24375423907586377,0.25300407127544217,0.998182213940332,0.01555393371318027
44,1.0037970916905181,0.21405424497430325,COMPLETE,0 days 00:00:00.038634,0.24574159824222241,0.2435914371312914,0.2536973146532446,0.9995057583846005,0.017165333223670465
45,1.0020343775834124,0.9937399615116929,COMPLETE,0 days 00:00:00.037677,0.24575421178162382,0.2437625769259274,0.25298740438702755,0.998157613675154,0.015507055633033536
46,1.0020317988660656,0.9953351443814388,COMPLETE,0 days 00:00:00.036997,0.24575446040407586,0.24376318392279847,0.2529862146716858,0.9981558769593856,0.015503687626720272
47,1.0020328140409156,0.9947068519614435,COMPLETE,0 days 00:00:00.039063,0.24575436237089296,0.2437629447205973,0.25298668313512795,0.9981565604992506,0.015505014166659755
48,1.0022782073389505,0.8531098648052036,COMPLETE,0 days 00:00:00.038019,0.24573586930439767,0.24371318674105205,0.25309650493671354,0.9983271147730539,0.015804370263586515
49,1.0020246102051567,0.9997957956916226,COMPLETE,0 days 00:00:00.038599,0.24575516046298584,0.24376488685123332,0.2529828935339792,0.9981510426766205,0.0154942701141445
50,1.0028930645938638,0.5592197244884314,COMPLETE,0 days 00:00:00.039085,0.2457203679560183,0.2436362895869632,0.2533514231995506,0.9987860077042912,0.016428227558290428
51,1.0020263873538902,0.9986911565975768,COMPLETE,0 days 00:00:00.037286,0.2457549864370782,0.24376446437269433,0.2529837152015966,0.9981522368035711,0.015496602201276098
52,1.0020373623699224,0.9918968185155158,COMPLETE,0 days 00:00:00.039961,0.24575392564554674,0.2437618768817065,0.252988780371259,0.9981596255456273,0.015510947297180019
53,1.0020293520773556,0.9968511224682975,COMPLETE,0 days 00:00:00.032392,0.24575469752503326,0.24376376175282052,0.25298508502286743,0.99815423034161,0.015500486942982518
54,1.0022574995062992,0.8643609517451032,COMPLETE,0 days 00:00:00.040598,0.2457370765433791,0.24371683818726092,0.25308746952000405,0.998312360766817,0.015780554957928933
55,1.0020348254487927,0.993463178292929,COMPLETE,0 days 00:00:00.039508,0.2457541687353017,0.243762471711529,0.25298761092602245,0.99815791544069,0.015507640032411191
56,1.0022808236528606,0.8516963754819207,COMPLETE,0 days 00:00:00.037256,0.24573572083778245,0.24371273169431476,0.25309764384188493,0.9983289830112998,0.015807362566243408
57,1.0022519360540123,0.8674031965643216,COMPLETE,0 days 00:00:00.038851,0.24573741074974428,0.2437178344843008,0.2530850355489522,0.998308406988592,0.01577411626168137
58,1.002040142227468,0.9901833247244113,COMPLETE,0 days 00:00:00.036237,0.24575366072623275,0.24376122733557212,0.2529900608515206,0.9981615008934311,0.0155145653361476
59,1.0022631981082035,0.8612534203771558,COMPLETE,0 days 00:00:00.038573,0.2457367385816223,0.24371582444835113,0.25308995975249304,0.9983164150567513,0.01578713220580927
60,1.002030814607648,0.9959446876378397,COMPLETE,0 days 00:00:00.039767,0.24575455564670057,0.2437634161423602,0.25298576034692555,0.9981552144357723,0.015502400687502523
61,1.0020244848638253,0.9998737525347196,COMPLETE,0 days 00:00:00.035195,0.2457551727608645,0.24376491668548597,0.2529828355664975,0.998150958479983,0.015494105535369488
62,1.0020279691008853,0.9977090256049851,COMPLETE,0 days 00:00:00.035849,0.24575483207762958,0.24376408917080566,0.25298444617560023,0.998153300177742,0.015498675692573368
63,1.0020286096104578,0.9973116040743816,COMPLETE,0 days 00:00:00.035896,0.24575476971374985,0.24376393745750757,0.2529847420814581,0.9981537309238828,0.015499514746299872
64,1.0022577669671913,0.8642149069125336,COMPLETE,0 days 00:00:00.036444,0.24573706058284486,0.24371679045537503,0.253087586462434,0.9983125509520183,0.015780864060691867
65,1.0022442921566193,0.8715967664285024,COMPLETE,0 days 00:00:00.037729,0.2457378768601384,0.24371921407966812,0.2530816868479267,0.9983029817900537,0.0157652414662622
66,1.002028556554196,0.997344518132615,COMPLETE,0 days 00:00:00.039053,0.2457547748765198,0.2437639500197803,0.2529847175722985,0.9981536952400799,0.015499445256463983
67,1.0020247696058555,0.9996966644096321,COMPLETE,0 days 00:00:00.033835,0.24575514482792746,0.24376484891709513,0.25298296725014086,0.9981511497569227,0.015494479395731587
68,1.0022871128480777,0.8483058320313316,COMPLETE,0 days 00:00:00.042074,0.24573536762230283,0.2437116435285562,0.25310037917254674,0.9983334777135002,0.015814540538310187
69,1.0020291008771536,0.9970068937909256,COMPLETE,0 days 00:00:00.037401,0.24575472193648437,0.24376382118026893,0.2529849690029363,0.9981540613601061,0.015500158068189855
70,1.002298888303631,0.8419848999634433,COMPLETE,0 days 00:00:00.040002,0.2457347201034968,0.24370962753120476,0.253105491542458,0.9983419074233411,0.015827923521160196
71,1.0020306090820104,0.9960720159087303,COMPLETE,0 days 00:00:00.040427,0.24575457555882865,0.2437634646703387,0.2529856654622229,0.9981550761172687,0.015502131858966931
72,1.0020583734045048,0.9790187700661052,COMPLETE,0 days 00:00:00.038946,0.2457519603053987,0.24375702474162614,0.2529984343420143,0.9981738378795744,0.015538142099721184
73,1.0020535670253166,0.9819499531161225,COMPLETE,0 days 00:00:00.035986,0.24575240242542123,0.24375812313216103,0.25299623084792344,0.9981705791014862,0.015531951695320971
74,1.0020471458817295,0.9858794609735849,COMPLETE,0 days 00:00:00.036865,0.24575299994593597,0.24375960117718765,0.25299328255378534,0.9981662325203097,0.015523653445679499
75,1.0022451516752373,0.8711244250221545,COMPLETE,0 days 00:00:00.041242,0.24573782404569564,0.24371905832712717,0.2530820636572867,0.9983035914149059,0.01576624104132598
